asdf_id,viirs_ntl_annual_v20_avg_masked.2019.max,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2019.min,viirs_ntl_annual_v20_avg_masked.2019.sum,viirs_ntl_annual_v20_avg_masked.2019.count,viirs_ntl_annual_v20_avg_masked.2014.max,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2014.min,viirs_ntl_annual_v20_avg_masked.2014.sum,viirs_ntl_annual_v20_avg_masked.2014.count,viirs_ntl_annual_v20_avg_masked.2012.max,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2012.min,viirs_ntl_annual_v20_avg_masked.2012.sum,viirs_ntl_annual_v20_avg_masked.2012.count,viirs_ntl_annual_v20_avg_masked.2016.max,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2016.min,viirs_ntl_annual_v20_avg_masked.2016.sum,viirs_ntl_annual_v20_avg_masked.2016.count,viirs_ntl_annual_v20_avg_masked.2015.max,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2015.min,viirs_ntl_annual_v20_avg_masked.2015.sum,viirs_ntl_annual_v20_avg_masked.2015.count,viirs_ntl_annual_v20_avg_masked.2013.max,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2013.min,viirs_ntl_annual_v20_avg_masked.2013.sum,viirs_ntl_annual_v20_avg_masked.2013.count,viirs_ntl_annual_v20_avg_masked.2017.max,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2017.min,viirs_ntl_annual_v20_avg_masked.2017.sum,viirs_ntl_annual_v20_avg_masked.2017.count,viirs_ntl_annual_v20_avg_masked.2020.max,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2020.min,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2020.count,viirs_ntl_annual_v20_avg_masked.2018.max,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2018.min,viirs_ntl_annual_v20_avg_masked.2018.sum,viirs_ntl_annual_v20_avg_masked.2018.count,ambient_air_pollution_2013_fus_calibrated.1990.mean,ambient_air_pollution_2013_fus_calibrated.1995.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2015.max,oco2_v10r_xco2_yearly.2015.min,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2017.max,oco2_v10r_xco2_yearly.2017.min,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2019.max,oco2_v10r_xco2_yearly.2019.min,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2020.max,oco2_v10r_xco2_yearly.2020.min,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2018.max,oco2_v10r_xco2_yearly.2018.min,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2016.max,oco2_v10r_xco2_yearly.2016.min,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,15.1093130112,0.0376283584221,0.0,1551.16867065,41289.6206055,9.96117591858,0.0101448821438,0.0,418.354553223,41289.6206055,5.10919094086,0.00821289548892,0.0,338.698883057,41289.6206055,9.41330432892,0.0218719185234,0.0,901.960268021,41289.6206055,8.53900909424,0.018188294909,0.0,750.081287861,41289.6206055,6.40183973312,0.0111330034935,0.0,459.219238281,41289.6206055,12.5398674011,0.039177797733,0.0,1615.1041857,41289.6206055,14.8618183136,0.0383475114824,0.0,1580.15840721,41289.6206055,16.3147754669,0.0396485462663,0.0,1634.64748192,41289.6206055,30.1594218552,30.0557297229,29.9459803753,31.4971297572,28.5666355734,29.0176528197,29.5123785022,30.0550601745,400.00283844,402.878024375,396.42398,407.132440119,409.687735,401.63525,411.89593443,416.48474,409.099964872,413.947211885,416.15747,411.75211,407.59485764,410.235557936,401.738373334,402.413221923,405.238437097,399.268306815,ADM1,0,TGO,TGO-ADM1-44829518B84327552,TG-S,Savanes Region,ADM1
1,15.9737768173,0.0379753083172,0.0,2073.74643326,54639.9372559,8.62452220917,0.01861047869,0.0,1016.43053937,54639.9372559,6.00272941589,0.0149093919786,0.0,814.496400356,54639.9372559,11.1350593567,0.0255277178686,0.0,1393.9166317,54639.9372559,9.17029190063,0.0233342239927,0.0,1274.41887951,54639.9372559,6.44048833847,0.0163631143558,0.0,893.770288467,54639.9372559,11.6300487518,0.0341081029505,0.0,1862.35956573,54639.9372559,11.1065540314,0.0386988892698,0.0,2113.10799408,54639.9372559,14.358212471,0.0387619549859,0.0,2116.56689835,54639.9372559,31.7347516187,31.5816638854,31.4375749208,30.9433218965,28.447142193,29.1337092565,29.8797005954,30.6904500987,399.996195323,403.53638,395.64166,405.55667773,408.694565,401.71917,411.885606275,414.43033,407.706315001,412.868947713,416.93546,406.678640001,409.262692103,411.04236,407.817225,404.742986462,405.741369276,403.14387125,ADM1,1,TGO,TGO-ADM1-44829518B27110459,TG-K,Kara Region,ADM1
2,9.90350341797,0.0187152978697,0.0,1173.73554993,62702.7802734,7.23917770386,0.00930844986774,0.0,583.905342102,62702.7802734,6.70840787888,0.00671749226003,0.0,421.436687469,62702.7802734,13.1229877472,0.0133199490091,0.0,835.515274048,62702.7802734,11.3092155457,0.0121553278417,0.0,762.569488525,62702.7802734,7.78417396545,0.0083043096653,0.0,520.917819977,62702.7802734,11.4913959503,0.0174549327768,0.0,1094.60121918,62702.7802734,8.76627922058,0.0208610686792,0.0,1308.39874268,62702.7802734,11.4581871033,0.0203246006514,0.0,1274.6361084,62702.7802734,27.5702060542,27.4104737141,27.254803285,26.214045756,25.8179438762,26.1189616846,26.4689240036,26.8700176214,400.253774749,403.749192667,395.92052,404.817977477,407.138385,401.625832858,410.898060824,414.43033,407.11374,412.671964507,417.46872,408.438771429,409.069423828,410.22172,407.095014005,404.045397456,406.84272,395.934575715,ADM1,2,TGO,TGO-ADM1-44829518B51255236,TG-C,Centrale Region,ADM1
3,5.49079799652,0.0208401591239,0.0,1687.91646528,81204.9233398,4.91782665253,0.00890788236684,0.0,721.843618393,81204.9233398,5.81550788879,0.00703754915384,0.0,570.489278793,81204.9233398,5.01289606094,0.0140409701567,0.0,1137.50660896,81204.9233398,5.15520000458,0.0129132354063,0.0,1046.45373917,81204.9233398,6.59888887405,0.0088197593853,0.0,714.749916077,81204.9233398,4.60737895966,0.0202454610494,0.0,1639.83452606,81204.9233398,6.7634396553,0.0244775522072,0.0,1982.73305488,81204.9233398,5.92489957809,0.0236907707062,0.0,1919.47531128,81204.9233398,23.2133141479,23.0635265166,22.9117423203,21.952385532,21.4617623173,21.7344330244,22.0457056283,22.3983894826,399.902803177,405.066399,393.2852,404.051783562,407.827164687,401.187335,408.741398138,413.201689999,405.742585,410.80642871,413.4630025,406.354775,406.447950053,410.22172,403.298824136,403.282056106,405.70683,399.559815,ADM1,3,TGO,TGO-ADM1-44829518B60863837,TG-P,Plateaux Region,ADM1
4,86.1186904907,0.565290097822,0.0,16741.6615906,29811.8588867,51.6660118103,0.35556763522,0.0,10522.2652359,29811.8588867,35.7444076538,0.239184412666,0.0,7083.36480713,29811.8588867,124.359291077,0.475061183778,0.0,14046.0119019,29811.8588867,130.116409302,0.429596661907,0.0,12697.3812866,29811.8588867,39.8123893738,0.299222940883,0.0,8858.31878662,29811.8588867,99.1171951294,0.524576882745,0.0,15529.9325867,29811.8588867,107.481262207,0.641484064509,0.0,19001.3423157,29811.8588867,101.562103271,0.561683295211,0.0,16631.9146118,29811.8588867,20.345944277,20.229918665,20.0858435489,19.7629709147,18.9717214171,19.8248348928,20.8051364604,21.9320184922,400.642063394,405.066399,396.15367,402.260335477,405.233395,399.27907,406.376122263,412.174031538,402.75198,412.144049742,413.411079857,406.47885,402.919288419,405.12484654,401.130052273,401.992939549,404.73884,400.034988182,ADM1,4,TGO,TGO-ADM1-44829518B43093726,TG-M,Maritime Region,ADM1
