asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2010.count,gpw_v4_rev11_count.2005.sum,gpw_v4_rev11_count.2005.count,gpw_v4_rev11_count.2000.sum,gpw_v4_rev11_count.2000.count,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,10343.0,1203161.375,10343.0,1158844.875,10343.0,1116856.375,10343.0,1076014.375,10343.0,1036429.4375,10343.0,962518.0625,10343.0,999381.75,10343.0,862146.125,10343.0,893362.8125,10343.0,927379.1875,10343.0,829936.0,41289.6206055,41206.588623,41289.6206055,41206.588623,41289.6206055,41206.588623,41289.6206055,41206.588623,41289.6206055,41206.588623,41289.6206055,41206.588623,41289.6206055,41206.588623,41289.6206055,41206.588623,41289.6206055,41206.588623,0.0383475114824,0.0376283584221,0.0396485462663,0.039177797733,0.0218719185234,0.018188294909,0.0111330034935,0.0101448821438,0.00821289548892,81.0374421059,85.879605388,86.1263048185,71.5605597325,97.9467889905,85.0148714491,73.1839807056,90.0085750887,28.6973835103,28.7406799131,28.5732159239,28.9554423142,28.906193199,28.6918247771,29.1546650656,29.1787493227,413.947211885,411.89593443,407.59485764,407.132440119,402.413221923,400.00283844,1137479.75,10342.9091797,1000235.9375,10342.9091797,858225.8125,10342.9091797,723372.4375,10342.9091797,602505.625,10342.9091797,64.3404683467,64.3811684646,64.4015282613,64.3608153457,30.0550601745,29.5123785022,29.0176528197,28.5666355734,ADM1,0,TGO,TGO-ADM1-44829518B84327552,TG-S,Savanes Region,ADM1
1,13683.8808594,958037.5625,13683.8808594,935325.375,13683.8808594,913192.3125,13683.8808594,891571.6875,13683.8808594,870664.25,13683.8808594,831733.375,13683.8808594,851345.8125,13683.8808594,780122.4375,13683.8808594,796363.125,13683.8808594,814188.625,13683.8808594,764833.8125,54639.9372559,54541.6936035,54639.9372559,54541.6936035,54639.9372559,54541.6936035,54639.9372559,54541.6936035,54639.9372559,54541.6936035,54639.9372559,54541.6936035,54639.9372559,54541.6936035,54639.9372559,54541.6936035,54639.9372559,54541.6936035,0.0386988892698,0.0379753083172,0.0387619549859,0.0341081029505,0.0255277178686,0.0233342239927,0.0163631143558,0.01861047869,0.0149093919786,106.031096706,114.916987253,102.348647729,104.671004776,115.241869806,106.571834649,90.6623555485,112.061711458,27.3733217555,27.328121106,27.1143243124,27.2152183614,27.138858714,27.0045150191,27.3477143845,27.5563594115,412.868947713,411.885606275,409.262692103,405.55667773,404.742986462,399.996195323,897749.4375,13684.4501953,843363.5625,13684.4501953,782604.875,13684.4501953,721217.125,13684.4501953,663067.25,13684.4501953,74.1294692259,74.1927118932,74.2243538546,74.1610833778,30.6904500987,29.8797005954,29.1337092565,28.447142193,ADM1,1,TGO,TGO-ADM1-44829518B27110459,TG-K,Kara Region,ADM1
2,15697.7402344,847875.75,15697.7402344,820397.3125,15697.7402344,795371.75,15697.7402344,770609.1875,15697.7402344,746837.875,15697.7402344,702242.125,15697.7402344,725301.9375,15697.7402344,641845.3125,15697.7402344,661265.3125,15697.7402344,681157.5625,15697.7402344,622585.25,62702.7802734,62614.6816406,62702.7802734,62614.6816406,62702.7802734,62614.6816406,62702.7802734,62614.6816406,62702.7802734,62614.6816406,62702.7802734,62614.6816406,62702.7802734,62614.6816406,62702.7802734,62614.6816406,62702.7802734,62614.6816406,0.0208610686792,0.0187152978697,0.0203246006514,0.0174549327768,0.0133199490091,0.0121553278417,0.0083043096653,0.00930844986774,0.00671749226003,102.618414733,105.380509438,94.6483574711,109.100717092,116.301355038,108.402092555,98.1739385893,118.355812546,26.6405871054,26.6327620456,26.4275034765,26.5209098069,26.4699815914,26.3604312892,26.5014971521,26.8199376159,412.671964507,410.898060824,409.069423828,404.817977477,404.045397456,400.253774749,804462.9375,15697.6796875,728415.1875,15697.6796875,646740.125,15697.6796875,566677.875,15697.6796875,492731.1875,15697.6796875,78.4708920108,78.5471900089,78.5853672829,78.5090318077,26.8700176214,26.4689240036,26.1189616846,25.8179438762,ADM1,2,TGO,TGO-ADM1-44829518B51255236,TG-C,Centrale Region,ADM1
3,20303.1210938,1799523.25,20303.1210938,1750022.875,20303.1210938,1699835.25,20303.1210938,1653254.875,20303.1210938,1607093.5,20303.1210938,1521093.5,20303.1210938,1561610.625,20303.1210938,1402144.125,20303.1210938,1439760.5,20303.1210938,1480509.875,20303.1210938,1364384.0,81204.9233398,81111.0595703,81204.9233398,81111.0595703,81204.9233398,81111.0595703,81204.9233398,81111.0595703,81204.9233398,81111.0595703,81204.9233398,81111.0595703,81204.9233398,81111.0595703,81204.9233398,81111.0595703,81204.9233398,81111.0595703,0.0244775522072,0.0208401591239,0.0236907707062,0.0202454610494,0.0140409701567,0.0129132354063,0.0088197593853,0.00890788236684,0.00703754915384,102.018617239,108.814062662,82.6403061822,103.686485567,97.5508486668,112.576574598,94.2902592117,122.097968105,26.8631726774,26.9457589621,26.6432361152,26.6985423031,26.7304813397,26.5585596703,26.6309513589,27.1124876025,410.80642871,408.741398138,406.447950053,404.051783562,403.282056106,399.902803177,1703153.75,20324.5605469,1565584.375,20324.5605469,1410418.625,20324.5605469,1253635.25,20324.5605469,1105896.375,20324.5605469,74.9829909392,75.0579068031,75.0953934088,75.0204393409,22.3983894826,22.0457056283,21.7344330244,21.4617623173,ADM1,3,TGO,TGO-ADM1-44829518B60863837,TG-P,Plateaux Region,ADM1
4,7441.43017578,3793987.0,7441.43017578,3614201.0,7441.43017578,3449817.0,7441.43017578,3295668.75,7441.43017578,3147413.0,7441.43017578,2887118.0,7441.43017578,3009564.0,7441.43017578,2553672.5,7441.43017578,2661985.75,7441.43017578,2773121.5,7441.43017578,2462795.5,29811.8588867,29754.0991211,29811.8588867,29754.0991211,29811.8588867,29754.0991211,29811.8588867,29754.0991211,29811.8588867,29754.0991211,29811.8588867,29754.0991211,29811.8588867,29754.0991211,29811.8588867,29754.0991211,29811.8588867,29754.0991211,0.641484064509,0.565290097822,0.561683295211,0.524576882745,0.475061183778,0.429596661907,0.299222940883,0.35556763522,0.239184412666,88.2459993037,90.767819293,72.6208916774,94.4031183562,85.0363011324,97.3633662591,78.7492617319,119.805897465,27.7901557328,28.0081995467,27.6876525181,27.6069772902,27.7133860698,27.5626362974,27.5646978913,28.22278945,412.144049742,406.376122263,402.919288419,402.260335477,401.992939549,400.642063394,3544782.25,7467.06005859,2984978.25,7467.06005859,2531845.0,7467.06005859,2170062.5,7467.06005859,1882245.625,7467.06005859,71.7745043657,71.8439510439,71.878700099,71.8092191818,21.9320184922,20.8051364604,19.8248348928,18.9717214171,ADM1,4,TGO,TGO-ADM1-44829518B43093726,TG-M,Maritime Region,ADM1
