Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,26.9915129478538,27.613346931536,28.2672312876907,28.9567843206811,29.6840102873359,30.4491397658744,31.2516229159276,32.0904487406882,32.9652447676481,33.878378857751,34.8325381340901,35.8277758070238,36.8643047179851,37.9434373891451,39.0608726498758,40.220485987939,41.4406172401561,42.7458318552678,44.1511972330614,45.6677545228805,47.2845423909188,48.9691468605889,50.6759045760908,52.3727562965591,54.0463994324228,55.708087974459,57.3809418233416,59.0998758424973,60.8899077687123,62.759205391983,64.6984746363959,66.6952465413267,68.730072720823,70.7894909542391,72.8706367506208,74.9804008513657,77.1276605179142,79.3252305782192,81.5826002128414,83.9023501241575,86.2828485278468,88.7246718694573,91.2277314650585,93.7917878680383,96.4178077332387,99.1059950336999,101.853804540617,104.65724547712,107.513284852785,110.420361830436
Benin,BEN,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.15978622,6.00176048,4.74779558,4.85716248,5.47668171,4.82977295,5.53186369,3.76954269,3.86888194,4.39692497,5.1466217,5.40438175,5.24533272,5.1337862,4.04461384,3.22514915,3.72646332,4.57916498,2.96292353,3.70517755,..,..
Cabo Verde,CPV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.43401194,4.75244379,4.7555151,4.50008631,4.37710667,4.27364111,4.48974991,4.18900156,3.58312869,3.88152456,4.47555733,4.30527449,5.13365459,5.28994226,5.32722235,4.8200655,4.84664345,5.27825785,5.26637983,4.93621731,..,..
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,501.13749449253,483.126925500872,477.939256518055,461.239997091499,431.237554822691,441.90662888927,602.158496333097,732.5632731235,811.398338220042,807.562392379273,908.08812841442,923.744280787787,1003.92954109172,1339.72957676692,1080.15656461598,1261.10309803336,1269.12057723296,1213.6328637989,1265.1978495826,1408.98620321479,1259.35306724402,1292.22651152195,1401.89107297649,1809.11002984768,2024.26638129338,2099.14841708582,2361.38010115423,3186.77993467023,3721.21999284574,3517.43015558829,3378.3234334576,3740.37410269948,3447.48310007387,3616.03556968932,3588.62558418407,3043.03138156811,3130.99875340636,3289.90220261281,3616.46453749713,3603.77524058462,3064.27238842819,..
Cabo Verde,CPV,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,89.59942,88.15434,85.11353,91.68477,94.56526,95.87482,97.08417,99.55368,..,99.20278,..,..,..,99.14782,..,..,..,99.82899,..,99.56229,97.28274,96.97873,96.13641,95.22005,96.12108,97.00636,97.39093,96.55235,95.75413,94.75945,93.46983,93.8087,93.21409,93.27274,93.38192,92.86026,92.98582,93.52897,..,..,..
Cabo Verde,CPV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..,228,..,..,..,..
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,67.4543424317618,67.2625310173697,67.054094292804,67.0570719602978,67.3312655086849,67.8250620347395,68.5315136476427,69.4116625310174,70.433746898263,71.6322580645161,73.0133995037221,74.4977667493797,75.9652605459057,77.3369727047146,78.5640198511166,79.6866004962779,80.829776674938,82.1786600496278,83.8593052109181,85.9129032258064,88.2786600496278,90.8330024813896,93.4017369727047,95.8531017369727,98.1471464019851,100.309677419355,102.360545905707,104.331513647643,106.247642679901,108.114392059553,109.914392059553,111.643920595534,113.304962779156,114.896774193548,116.419602977667,117.882630272953,119.316625310174,120.761042183623,122.244168734491,123.786104218362,125.369975186104,126.982630272953,128.604466501241,130.208436724566,131.796526054591,133.374441687345,134.929032258065,136.460545905707,137.962282878412,139.454094292804
Cabo Verde,CPV,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.50158787,11.17305279,9.50427818,11.36700153,9.63142586,8.80299091,8.92111397,10.09019661,8.10699081,8.30945301,7.22943163,8.60780239,8.86497021,9.02955627,9.98307133,10.09395409,10.39242458,10.39242458,10.39242458,10.39242458,..,..
Cote d'Ivoire,CIV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.12684488,6.01772738,5.90390921,5.47977018,5.47520828,5.00643015,4.76330471,4.55253553,4.56873417,4.46970177,4.41580963,4.39704227,4.42740583,3.71776819,3.73104811,3.21990895,3.35172296,3.30509853,3.11891103,3.29862952,..,..
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,331.670010106764,429.412933747764,501.552678161048,607.235001739293,694.383247143566,891.634602258471,1074.86200816112,1189.56839662251,1266.62387688845,1004.63437278325,863.333432585532,747.756181947221,717.897667480131,703.519515159779,888.528580547471,942.931007506008,924.327245161761,848.289544332952,905.322019526304,848.75311593867,870.480701711964,832.28305872577,605.26336693829,774.671375725252,1232.25365555692,1192.77946057089,1258.52471003781,1177.04079411995,1007.4673895039,997.478784301277,1047.75226537338,1207.51264780798,1308.2878198271,1309.59165282851,1347.98882431013,1500.16780515301,1738.19210063268,1689.3447616219,1701.47570153035,1744.93889692888,1684.78158627038,1935.946845307,2156.64588308951,1972.54568305836,2013.38144761651,2111.02655726645,2314.05095836881,2276.3323939018,2325.72370502247,..
Cote d'Ivoire,CIV,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,50.85929,..,..,..,..,..,..,..,..,..,..,..,..,..,49.10346,49.3883,..,..,..,54.68437,55.69958,..,57.5195,56.50839,60.60849,60.66286,56.0829,..,..,..,..,..,55.83834,..,..,..,68.27574,72.85662,76.73595,86.90249,88.60837,93.69235,..,..,..
Cote d'Ivoire,CIV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..,1348,..,..,..,..
