asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2010.count,gpw_v4_rev11_count.2010.sum,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ISO Code,Level,OBJECTID,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,40899.2285156,1227521.625,40899.2285156,1177771.1875,40899.2285156,1202437.53125,40899.2285156,1153948.9375,40899.2285156,1130591.6875,40899.2285156,1108092.98438,40899.2285156,1085640.54688,40899.2285156,1063833.76562,40899.2285156,1043062.54688,40899.2285156,1022597.85938,40899.2285156,1001836.5625,163525.73877,163264.536804,163525.73877,163264.536804,163525.73877,163264.536804,163525.73877,163264.536804,163525.73877,163264.536804,163525.73877,163264.536804,163525.73877,163264.536804,163525.73877,163264.536804,163525.73877,163264.536804,0.0352905840062,0.031615517187,0.028317580666,0.0213090698204,0.0131066199839,0.00884439898772,0.0075794111414,0.00870269009497,0.00766298350111,177.992373294,174.295677424,160.370167597,159.082019047,154.170135734,169.612939002,185.561810729,201.284036267,27.6951180844,27.6323792145,27.3959304437,27.377536495,27.4816523324,27.3529080622,27.3922986931,27.5908845743,413.623030946,411.051612292,409.752617509,406.854222955,404.001429144,401.300902953,40900.2089844,1418060.0,40900.2089844,1289297.76562,40900.2089844,1150999.875,55.862363877,55.8888114668,55.9152720387,55.9417454728,32.2574159194,31.2231027807,30.2592616826,29.3602311371,GN-B,ADM1,1,0,0,GIN,GIN-ADM1-56622519B19949297,Boke,ADM1
1,521.309997559,1878088.75,521.309997559,1783019.75,521.309997559,1828518.625,521.309997559,1735974.0,521.309997559,1692653.375,521.309997559,1650171.25,521.309997559,1608213.0,521.309997559,1572611.0,521.309997559,1535212.25,521.309997559,1497390.5,521.309997559,1462695.375,2091.11010742,2069.2199707,2091.11010742,2069.2199707,2091.11010742,2069.2199707,2091.11010742,2069.2199707,2091.11010742,2069.2199707,2091.11010742,2069.2199707,2091.11010742,2069.2199707,2091.11010742,2069.2199707,2091.11010742,2069.2199707,4.40637211475,4.30474163705,4.24903957837,4.03303484027,3.4786373489,2.71927531567,1.88631116756,1.93879513627,1.72843021747,277.433333333,298.525,218.991666667,229.408333333,229.616666667,227.683333333,281.841666667,293.1,26.3416666667,26.075,25.9583333333,25.8583333333,25.95,26.0583333333,26.275,26.85,412.646436743,410.717118821,410.730081158,405.770328451,403.573993852,400.589034831,519.799987793,2127188.0,519.799987793,1882630.75,519.799987793,1643687.875,57.7870184423,57.8150846771,57.8431650516,57.8712583577,28.781474688,27.768503456,26.8096006359,25.9013150859,GN-C,ADM1,2,1,1,GIN,GIN-ADM1-56622519B26553537,Conakry,ADM1
2,42573.0410156,1088301.80908,42573.0410156,1034678.16455,42573.0410156,1060832.3457,42573.0410156,1009088.56152,42573.0410156,984079.009766,42573.0410156,960171.334473,42573.0410156,936203.042969,42573.0410156,913935.263672,42573.0410156,892074.39209,42573.0410156,871683.442627,42573.0410156,850346.987793,170058.763674,169815.959845,170058.763674,169815.959845,170058.763674,169815.959845,170058.763674,169815.959845,170058.763674,169815.959845,170058.763674,169815.959845,170058.763674,169815.959845,170058.763674,169815.959845,170058.763674,169815.959845,0.000508626746199,0.00051724977657,0.000782685621613,0.00222402861817,0.00150657167629,0.00141579457247,0.000573759411146,0.000725774062826,0.000550435740732,131.924095863,141.751007991,138.587808487,132.595845647,135.853425184,138.199167131,137.259847976,149.833679264,26.2174973713,26.1173539315,25.8762604076,25.6631634582,25.6625484108,25.4866865147,25.9012716422,26.2159605461,414.771297788,411.209588801,408.509791264,407.136528441,405.396433235,401.240898174,42575.4516602,1264428.9209,42575.4516602,1123549.9248,42575.4516602,981653.467285,60.522321709,60.5591457804,60.5959935352,60.6328643934,32.2719799529,30.1863287037,28.3443415524,26.7109171959,GN-F,ADM1,3,2,2,GIN,GIN-ADM1-56622519B37985358,Faranah,ADM1
3,85463.9520731,2518735.84914,85463.9520731,2318142.87462,85463.9520731,2415800.97547,85463.9520731,2225194.17665,85463.9520731,2136674.30016,85463.9520731,2052577.26167,85463.9520731,1972455.76249,85463.9520731,1896144.21543,85463.9520731,1823578.76044,85463.9520731,1754200.87869,85463.9520731,1687945.62073,341635.41114,341378.612385,341635.41114,341378.612385,341635.41114,341378.612385,341635.41114,341378.612385,341635.41114,341378.612385,341635.41114,341378.612385,341635.41114,341378.612385,341635.41114,341378.612385,341635.41114,341378.612385,0.00476278790913,0.0047258564617,0.00448435179336,0.00488886804814,0.00389410845422,0.00357587694421,0.00316172583895,0.00312065005226,0.00362805793405,107.871624883,128.211557667,113.999629086,130.60890753,146.811361466,133.397881332,119.048557821,134.605779878,26.6244272192,26.6050352045,26.4722078205,26.3007053747,26.1900650809,25.7431047678,26.3479611981,26.7657529645,414.245369393,411.096533088,408.986407682,407.065495431,404.482079526,401.285240693,85473.1089067,2918920.51787,85473.1089067,2396346.51169,85473.1089067,1945339.71811,61.6277042557,61.6622663148,61.6968493259,61.7314531345,31.9152855374,30.45006993,29.1268914155,27.9296380046,GN-K,ADM1,4,3,3,GIN,GIN-ADM1-56622519B14513914,Kankan,ADM1
4,30536.669209,2066045.43238,30536.669209,1877227.7826,30536.669209,1967871.26521,30536.669209,1795225.1615,30536.669209,1718250.25078,30536.669209,1647982.73313,30536.669209,1581674.06746,30536.669209,1519799.23783,30536.669209,1464203.03101,30536.669209,1413418.28244,30536.669209,1362685.64651,122010.748789,121834.621602,122010.748789,121834.621602,122010.748789,121834.621602,122010.748789,121834.621602,122010.748789,121834.621602,122010.748789,121834.621602,122010.748789,121834.621602,122010.748789,121834.621602,122010.748789,121834.621602,0.0366148339101,0.0317854381296,0.0294543451134,0.025626301752,0.015983271495,0.0134230992593,0.0113640693981,0.0099776999054,0.00688116666355,211.819243114,226.220500057,169.16926043,174.702092869,176.040336013,178.712213975,216.205229874,229.677559815,26.7843582013,26.5548525044,26.3784636461,26.283628427,26.383331939,26.4134868932,26.5567860637,27.0284228313,413.69193309,411.54210169,409.673753502,407.181438014,404.67774695,401.066424582,30536.57125,2402459.53254,30536.57125,1933261.03907,30536.57125,1581991.70767,56.8381068709,56.8693651207,56.90064121,56.9319344404,23.9094297223,23.1433837947,22.4332174191,21.7743047917,GN-D,ADM1,5,4,4,GIN,GIN-ADM1-56622519B5722511,Kindia,ADM1
5,27174.6796875,1077968.0,27174.6796875,1049299.875,27174.6796875,1063636.25,27174.6796875,1035447.75,27174.6796875,1021921.3125,27174.6796875,1008566.625,27174.6796875,995759.5,27174.6796875,983345.4375,27174.6796875,970952.5,27174.6796875,958942.9375,27174.6796875,947471.1875,108595.558685,108478.479031,108595.558685,108478.479031,108595.558685,108478.479031,108595.558685,108478.479031,108595.558685,108478.479031,108595.558685,108478.479031,108595.558685,108478.479031,108595.558685,108478.479031,108595.558685,108478.479031,0.00248575903099,0.00214990743826,0.00316059725071,0.00315016736174,0.00233786799011,0.0015553959608,0.00117261337305,0.00159680370879,0.00121738451631,124.124028732,125.900955459,146.049436735,121.213336619,124.07432138,135.617183524,133.915446696,144.516573702,25.9714084705,25.799070257,25.487118994,25.3216568061,25.4209388348,25.3126880547,25.3585270088,25.439919515,413.758368947,411.839654808,408.926596182,406.755295918,405.035819258,400.1675304,27178.0507812,1248795.125,27178.0507812,1177128.625,27178.0507812,1091192.125,55.8228941834,55.8491873372,55.8754933278,55.9018119446,29.4403244028,28.9099322347,28.4040300901,27.9213655364,GN-L,ADM1,6,5,5,GIN,GIN-ADM1-56622519B70853212,Labe,ADM1
6,21213.7402344,778973.125,21213.7402344,761848.625,21213.7402344,770101.625,21213.7402344,753666.4375,21213.7402344,745614.3125,21213.7402344,737750.3125,21213.7402344,730271.125,21213.7402344,722362.5625,21213.7402344,714817.125,21213.7402344,707311.9375,21213.7402344,700129.0625,84745.8813477,84633.0180664,84745.8813477,84633.0180664,84745.8813477,84633.0180664,84745.8813477,84633.0180664,84745.8813477,84633.0180664,84745.8813477,84633.0180664,84745.8813477,84633.0180664,84745.8813477,84633.0180664,84745.8813477,84633.0180664,0.0107093668119,0.00847115669903,0.0108250018028,0.0100432389913,0.00804690811185,0.00745199519192,0.00511972605576,0.00552591516851,0.00468867007394,147.794496799,155.15999104,141.171678574,129.32492776,131.668674745,139.504589959,152.455565927,164.807119447,24.8577284729,24.639521004,24.3957461557,24.249602562,24.3461255266,24.3138976033,24.4542157076,24.7586482885,413.427372157,411.822148889,408.544781356,406.864491954,404.795109413,400.194773355,21214.9804688,902168.25,21214.9804688,860894.0625,21214.9804688,807465.9375,58.4438570464,58.4790836989,58.5143321584,58.5496021703,24.3451611233,23.9843536737,23.6438743343,23.3225216794,GN-M,ADM1,7,6,6,GIN,GIN-ADM1-56622519B14098499,Mamou,ADM1
7,43359.2427979,1716825.60938,43359.2427979,1667751.09375,43359.2427979,1691537.46875,43359.2427979,1644702.89062,43359.2427979,1622843.46875,43359.2427979,1601885.26562,43359.2427979,1581650.0625,43359.2427979,1562856.05469,43359.2427979,1545295.55469,43359.2427979,1528250.57812,43359.2427979,1511635.96875,173211.19751,172984.77417,173211.19751,172984.77417,173211.19751,172984.77417,173211.19751,172984.77417,173211.19751,172984.77417,173211.19751,172984.77417,173211.19751,172984.77417,173211.19751,172984.77417,173211.19751,172984.77417,0.00135880006578,0.00135775555588,0.00190807536896,0.00287965325178,0.00195707452607,0.00181885593059,0.00214786071343,0.00182294495761,0.00176526063069,157.011146674,180.213978078,124.240631377,183.968708027,182.071796188,173.148359205,163.390759121,193.534892591,25.0570619071,25.10734616,25.0989163546,24.768515229,24.6633812681,24.4398188091,24.755735915,25.1452631764,413.758321898,409.745905421,407.752044975,407.026149498,404.250224451,401.544268786,43359.5406494,1986691.96875,43359.5406494,1867087.10938,43359.5406494,1739263.4375,65.2470350886,65.2910551903,65.3351052286,65.3791852532,20.9551556878,20.4160558031,19.9852305763,19.6487720525,GN-N,ADM1,8,7,7,GIN,GIN-ADM1-56622519B96181390,Nzerekore,ADM1
