asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2010.count,gpw_v4_rev11_count.2010.sum,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,116.940002441,508749.3125,116.940002441,492435.15625,116.940002441,475363.6875,116.940002441,458450.875,116.940002441,444118.5625,116.940002441,411104.375,116.940002441,427834.125,116.940002441,397179.375,116.940002441,372958.75,116.940002441,384289.34375,116.940002441,360256.78125,907.640014648,899.109985352,907.640014648,899.109985352,907.640014648,899.109985352,907.640014648,899.109985352,907.640014648,899.109985352,907.640014648,899.109985352,907.640014648,899.109985352,907.640014648,899.109985352,907.640014648,899.109985352,1.15042888161,1.26470283442,1.12504782209,1.21956715223,1.09764033974,1.07753566771,0.652029011652,0.531213071691,0.549357563227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.530860973,410.584186622,404.942571133,402.49314586,405.506734709,399.464019924,118.86000061,543665.1875,118.86000061,458904.71875,118.86000061,383821.875,51.5327348009,51.5457836966,51.5588383811,51.571897688,26.0065082107,26.0271690318,26.0478476935,26.0685442125,ADM1,0,0,GNB,GNB-ADM1-76643164B2363721,GW-BS,Bissau,ADM1
1,7185.95996094,250100.03125,7185.95996094,245716.5,7185.95996094,240826.359375,7185.95996094,236596.890625,7185.95996094,232229.875,7185.95996094,223830.5625,7185.95996094,227905.375,7185.95996094,219606.546875,7185.95996094,211347.46875,7185.95996094,215450.484375,7185.95996094,207499.3125,28729.609375,28655.7382812,28729.609375,28655.7382812,28729.609375,28655.7382812,28729.609375,28655.7382812,28729.609375,28655.7382812,28729.609375,28655.7382812,28729.609375,28655.7382812,28729.609375,28655.7382812,28729.609375,28655.7382812,0.000500296355886,0.00106704243451,0.0010921385975,0.00134027704657,0.00092966720386,0.00103586140721,0.000365448342679,0.000427503927756,0.000240993144586,135.78288188339732,114.2473749820106,116.90173410475238,99.35936662096775,115.66730338874765,129.88874564376135,123.86751154455864,148.7349687575008,27.720666721039322,27.758169681939055,27.567513108358362,27.645574212682376,27.50396381833823,27.73923451588171,27.43489068463057,27.70541016388536,412.880176681,410.918046291,408.968879603,404.17866646,408.057437886,402.181950286,7200.69042969,277414.90625,7200.69042969,253740.546875,7200.69042969,230131.53125,53.9315046506,53.9567172796,53.9819418067,54.0071786539,31.8600117862,31.7368247751,31.6199159084,31.5090851621,ADM1,1,1,GNB,GNB-ADM1-76643164B72191708,GW-BA,Bafatá,ADM1
2,962.720031738,151627.65625,962.720031738,146308.1875,962.720031738,142128.109375,962.720031738,138721.375,962.720031738,133558.8125,962.720031738,128864.671875,962.720031738,130473.0625,962.720031738,125251.882812,962.720031738,115692.078125,962.720031738,120788.75,962.720031738,112565.71875,4124.53027344,4104.99023438,4124.53027344,4104.99023438,4124.53027344,4104.99023438,4124.53027344,4104.99023438,4124.53027344,4104.99023438,4124.53027344,4104.99023438,4124.53027344,4104.99023438,4124.53027344,4104.99023438,4124.53027344,4104.99023438,0.0552715828992,0.055357854788,0.0524414986833,0.0437596722723,0.0304790338778,0.0325322947189,0.0154875117281,0.0165494159809,0.0124176181112,105.21666666666667,86.94166666666666,97.66666666666667,97.65,113.80833333333331,126.075,139.74166666666667,138.675,27.76666666666667,27.691666666666663,27.53333333333333,27.65,27.441666666666666,27.55,27.40833333333333,28.008333333333333,412.958273478,409.668428736,402.892754331,403.359241219,405.365582551,399.134292162,963.320007324,181149.09375,963.320007324,156348.609375,963.320007324,134410.296875,51.2240958057,51.24035288,51.2566141833,51.2728814218,27.7245334268,27.3834120994,27.0505464641,26.7257130317,ADM1,2,2,GNB,GNB-ADM1-76643164B68395788,GW-BM,Biombo,ADM1
3,1674.62011719,30607.5097656,1674.62011719,30333.2871094,1674.62011719,30028.3769531,1674.62011719,29927.8554688,1674.62011719,29746.3671875,1674.62011719,29124.5859375,1674.62011719,29185.4765625,1674.62011719,28749.9238281,1674.62011719,28321.8808594,1674.62011719,28804.7207031,1674.62011719,28063.625,6588.20996094,6354.80029297,6588.20996094,6354.80029297,6588.20996094,6354.80029297,6588.20996094,6354.80029297,6588.20996094,6354.80029297,6588.20996094,6354.80029297,6588.20996094,6354.80029297,6588.20996094,6354.80029297,6588.20996094,6354.80029297,0.000801226871216,0.00149660528566,0.00255403150642,0.00277418474815,0.00203025938192,0.000247773906665,0.000153212499163,0.000171191393927,0.0,162.4950943424372,139.99980388940412,153.07356011478063,152.53126972310852,171.64563527399392,186.44236185277543,200.29789705547412,198.17099562875924,26.874984890674586,26.818512635649554,26.61950967578953,26.731148314486195,26.537627707389586,26.702564513571225,26.50285014700121,27.04209874425631,412.437074041,408.940146078,405.245391633,404.020767528,405.721754734,400.695027388,1673.62011719,33958.296875,1673.62011719,32478.3027344,1673.62011719,30782.6171875,51.7095231912,51.7211260805,51.7327307426,51.7443384859,29.4549692294,28.601317768,27.8058175929,27.0642593738,ADM1,3,3,GNB,GNB-ADM1-76643164B8776181,GW-BL,Bolama,ADM1
4,5920.04980469,221626.515625,5920.04980469,218259.40625,5920.04980469,215159.625,5920.04980469,212575.84375,5920.04980469,209499.875,5920.04980469,203615.59375,5920.04980469,206457.234375,5920.04980469,200401.8125,5920.04980469,195252.15625,5920.04980469,197589.859375,5920.04980469,192309.875,24863.1408691,24800.880127,24863.1408691,24800.880127,24863.1408691,24800.880127,24863.1408691,24800.880127,24863.1408691,24800.880127,24863.1408691,24800.880127,24863.1408691,24800.880127,24863.1408691,24800.880127,24863.1408691,24800.880127,0.00057256844169,0.000912692583077,0.00101239043155,0.0010967281363,0.000610623806193,0.000728063169124,0.000257438833506,0.000201941033214,0.000168680603323,106.36999194495377,87.80953222063677,98.13533559073417,97.33636682265144,113.81295766129197,125.79028658434906,138.32300233595757,138.60396837442502,27.769642791575745,27.69526070155059,27.53682527807597,27.653902095016836,27.44721174905901,27.55729552903624,27.408433037195913,28.002159602711956,413.13671496,409.712560451,404.593803642,402.152770337,405.463980443,399.491937422,5946.5,249162.765625,5946.5,232795.0625,5946.5,215789.71875,49.9506526097,49.9629954542,49.9753416218,49.9876909103,28.7248557285,28.6373609178,28.5521566486,28.4691858695,ADM1,4,4,GNB,GNB-ADM1-76643164B9765180,GW-CA,Cacheu,ADM1
5,10926.0996094,268087.5,10926.0996094,261598.53125,10926.0996094,255038.046875,10926.0996094,248697.46875,10926.0996094,242686.53125,10926.0996094,231145.9375,10926.0996094,236735.84375,10926.0996094,225672.734375,10926.0996094,215120.40625,10926.0996094,220405.0625,10926.0996094,210097.0,43623.2373047,43534.1479492,43623.2373047,43534.1479492,43623.2373047,43534.1479492,43623.2373047,43534.1479492,43623.2373047,43534.1479492,43623.2373047,43534.1479492,43623.2373047,43534.1479492,43623.2373047,43534.1479492,43623.2373047,43534.1479492,0.000627859825297,0.000564258509407,0.000677334657916,0.000712777342004,0.000495775828558,0.000430995572676,0.000210952518888,0.000372952837063,0.000117773367589,127.9846579898084,112.15727790064436,112.48182176867383,100.8852828015108,104.49549837904462,121.6404963719754,113.4974909397701,141.58919926834398,27.46862284562222,27.55377586787115,27.307913160016934,27.369215880743933,27.254333944433284,27.49924019400236,27.268405703379685,27.30553872675078,414.076106671,410.841559799,409.891912835,404.079279635,407.963186309,401.944339995,10928.140625,295977.1875,10928.140625,262641.6875,10928.140625,231461.5625,55.0259702759,55.0531716696,55.0803868091,55.1076161389,37.0369125604,35.8821906217,34.7892844727,33.754309282,ADM1,5,5,GNB,GNB-ADM1-76643164B30536517,GW-GA,Gabu,ADM1
6,6590.5703125,265506.125,6590.5703125,260287.28125,6590.5703125,255348.375,6590.5703125,250722.328125,6590.5703125,245937.015625,6590.5703125,236993.984375,6590.5703125,241466.875,6590.5703125,232544.9375,6590.5703125,224179.375,6590.5703125,228222.5,6590.5703125,219987.28125,27219.0585938,27163.9609375,27219.0585938,27163.9609375,27219.0585938,27163.9609375,27219.0585938,27163.9609375,27219.0585938,27163.9609375,27219.0585938,27163.9609375,27219.0585938,27163.9609375,27219.0585938,27163.9609375,27219.0585938,27163.9609375,0.0,0.000391271360699,0.000849181422035,0.000923028018497,0.000432291678699,0.0,0.0,0.0,3.85073164122e-05,127.5606103836254,103.62146090709082,108.05887666088968,96.74729950950717,117.77494990779806,129.8482964424843,130.57404007344974,146.4603177517253,27.831586468096617,27.78120371140613,27.6359339329924,27.73793398099769,27.54755623822532,27.69705111307985,27.45216789129275,27.912500528332373,414.179470749,411.480789496,408.315439062,404.176536543,407.022493457,400.957662487,6612.21972656,296792.625,6612.21972656,270936.65625,6612.21972656,245314.5,51.3275069314,51.3436871574,51.3598731525,51.3760644031,30.302880888,30.2804847021,30.2594719254,30.2398118006,ADM1,6,6,GNB,GNB-ADM1-76643164B60859401,GW-OI,Oio,ADM1
7,3545.59008789,71322.09375,3545.59008789,69795.40625,3545.59008789,68283.0625,3545.59008789,66877.8515625,3545.59008789,65330.609375,3545.59008789,62601.6054688,3545.59008789,63919.234375,3545.59008789,61303.0078125,3545.59008789,58916.8671875,3545.59008789,59999.6171875,3545.59008789,57831.96875,15505.0791016,15454.0898438,15505.0791016,15454.0898438,15505.0791016,15454.0898438,15505.0791016,15454.0898438,15505.0791016,15454.0898438,15505.0791016,15454.0898438,15505.0791016,15454.0898438,15505.0791016,15454.0898438,15505.0791016,15454.0898438,0.00054234569192,0.00135484659544,0.00144104953665,0.00084977398891,0.000617074619408,0.000743172546527,0.0,0.0,0.0,169.93947170526462,141.0039663562122,149.2274128424009,147.50465384026896,167.7433582990715,186.3388886879474,208.6779730225069,208.51332042967564,27.645695839832992,27.631791540782356,27.457819847086107,27.56100726770755,27.326767475930463,27.524494241363858,27.325665075783864,27.737558992689355,414.150452226,411.611948559,408.823597457,404.544717799,408.170123466,401.889622943,3564.98974609,79454.015625,3564.98974609,71851.1640625,3564.98974609,64519.8046875,53.3175386475,53.3362886824,53.3550463418,53.3738114461,28.4843726976,27.800685511,27.1622246253,26.5658911091,ADM1,7,7,GNB,GNB-ADM1-76643164B52305557,GW-QU,Quinara,ADM1
8,4277.45996094,105717.609375,4277.45996094,104193.570312,4277.45996094,102646.664062,4277.45996094,101177.25,4277.45996094,99790.25,4277.45996094,96875.140625,4277.45996094,98189.6328125,4277.45996094,95505.3359375,4277.45996094,92776.765625,4277.45996094,94057.4296875,4277.45996094,91449.1015625,17728.8398438,17674.9199219,17728.8398438,17674.9199219,17728.8398438,17674.9199219,17728.8398438,17674.9199219,17728.8398438,17674.9199219,17728.8398438,17674.9199219,17728.8398438,17674.9199219,17728.8398438,17674.9199219,17728.8398438,17674.9199219,0.00128765202673,0.000868318162937,0.00089445385704,0.000982916217609,0.000678906969413,0.000813550320038,0.000700798477681,0.000288866816544,0.000286076265184,186.57692723367907,161.13295133263765,166.6276995936223,157.890954168146,180.61346180528304,191.85446755145537,210.29869179678428,216.97211717232747,27.673313317115017,27.678983979719913,27.47245252188664,27.56423360704236,27.386734307498045,27.58257125386749,27.38795955501813,27.768940703131165,413.85077147,411.087097494,409.157254715,404.783968077,408.011621744,401.75476779,4279.81005859,115264.921875,4279.81005859,107622.5,4279.81005859,99641.1953125,54.5776043398,54.5995925626,54.6215904413,54.6435972866,28.2286328883,27.9343029243,27.6784010968,27.460426775,ADM1,8,8,GNB,GNB-ADM1-76643164B98453999,GW-TO,Tombali,ADM1
