asdf_id,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2019.max,viirs_ntl_annual_v20_avg_masked.2019.min,viirs_ntl_annual_v20_avg_masked.2019.sum,viirs_ntl_annual_v20_avg_masked.2019.count,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2014.max,viirs_ntl_annual_v20_avg_masked.2014.min,viirs_ntl_annual_v20_avg_masked.2014.sum,viirs_ntl_annual_v20_avg_masked.2014.count,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2012.max,viirs_ntl_annual_v20_avg_masked.2012.min,viirs_ntl_annual_v20_avg_masked.2012.sum,viirs_ntl_annual_v20_avg_masked.2012.count,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2016.max,viirs_ntl_annual_v20_avg_masked.2016.min,viirs_ntl_annual_v20_avg_masked.2016.sum,viirs_ntl_annual_v20_avg_masked.2016.count,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2015.max,viirs_ntl_annual_v20_avg_masked.2015.min,viirs_ntl_annual_v20_avg_masked.2015.sum,viirs_ntl_annual_v20_avg_masked.2015.count,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2013.max,viirs_ntl_annual_v20_avg_masked.2013.min,viirs_ntl_annual_v20_avg_masked.2013.sum,viirs_ntl_annual_v20_avg_masked.2013.count,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2017.max,viirs_ntl_annual_v20_avg_masked.2017.min,viirs_ntl_annual_v20_avg_masked.2017.sum,viirs_ntl_annual_v20_avg_masked.2017.count,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2020.max,viirs_ntl_annual_v20_avg_masked.2020.min,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2020.count,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2018.max,viirs_ntl_annual_v20_avg_masked.2018.min,viirs_ntl_annual_v20_avg_masked.2018.sum,viirs_ntl_annual_v20_avg_masked.2018.count,ambient_air_pollution_2013_fus_calibrated.1990.mean,ambient_air_pollution_2013_fus_calibrated.1995.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ISO Code,Level,OBJECTID,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,0.031615517187,73.0100860596,0.0,5151.61018229,163525.73877,0.00870269009497,34.3519020081,0.0,1417.6204083,163525.73877,0.00766298350111,21.336227417,0.0,1248.38059354,163525.73877,0.0131066199839,37.4138031006,0.0,2135.17655802,163525.73877,0.00884439898772,31.4169445038,0.0,1440.33836508,163525.73877,0.0075794111414,26.7147941589,0.0,1234.67091775,163525.73877,0.0213090698204,48.3589363098,0.0,3471.00195122,163525.73877,0.0352905840062,69.00050354,0.0,5750.7751686,163525.73877,0.028317580666,105.319236755,0.0,4614.87579322,163525.73877,31.5763047872,31.5395152597,31.5016017572,30.9892975749,29.3602311371,30.2592616826,31.2231027807,32.2574159194,GN-B,ADM1,1,0,0,GIN,GIN-ADM1-56622519B19949297,Boke,ADM1
1,4.30474163705,51.5797462463,0.0,8952.83105469,2091.11010742,1.93879513627,33.0256462097,0.0,4027.30786133,2091.11010742,1.72843021747,18.5153636932,0.0,3594.52880859,2091.11010742,3.4786373489,62.9145278931,0.0,7231.24804688,2091.11010742,2.71927531567,53.2845802307,0.0,5652.71630859,2091.11010742,1.88631116756,25.9058589935,0.0,3919.84472656,2091.11010742,4.03303484027,58.707244873,0.0,8383.34179688,2091.11010742,4.40637211475,49.5954780579,0.0,9164.70214844,2091.11010742,4.24903957837,50.5016021729,0.0,8833.89648438,2091.11010742,32.4454788504,32.4397895829,32.4535584323,30.6186627022,25.9013150859,26.8096006359,27.768503456,28.781474688,GN-C,ADM1,2,1,1,GIN,GIN-ADM1-56622519B26553537,Conakry,ADM1
2,0.00051724977657,2.47826361656,0.0,87.9945912361,170058.763674,0.000725774062826,4.82406282425,0.0,123.382396698,170058.763674,0.000550435740732,2.29362535477,0.0,93.5839042664,170058.763674,0.00150657167629,5.28223419189,0.0,255.899615288,170058.763674,0.00141579457247,5.06391620636,0.0,240.559592724,170058.763674,0.000573759411146,2.11075782776,0.0,97.5588264465,170058.763674,0.00222402861817,5.3339715004,0.0,377.554260731,170058.763674,0.000508626746199,2.28168845177,0.0,86.5036182404,170058.763674,0.000782685621613,2.50441455841,0.0,132.874606907,170058.763674,27.6545010418,27.6409116503,27.6076104681,27.7766576297,26.7109171959,28.3443415524,30.1863287037,32.2719799529,GN-F,ADM1,3,2,2,GIN,GIN-ADM1-56622519B37985358,Faranah,ADM1
3,0.0047258564617,36.2283554077,0.0,1619.26906943,341635.41114,0.00312065005226,40.0544700623,0.0,1069.29465961,341635.41114,0.00362805793405,51.7477607727,0.0,1243.00335324,341635.41114,0.00389410845422,32.0735931396,0.0,1333.58023643,341635.41114,0.00357587694421,31.9303894043,0.0,1224.74558401,341635.41114,0.00316172583895,38.8953514099,0.0,1083.29761648,341635.41114,0.00488886804814,32.1997795105,0.0,1673.75306511,341635.41114,0.00476278790913,31.1059513092,0.0,1631.66463122,341635.41114,0.00448435179336,32.4805412292,0.0,1535.88872004,341635.41114,28.4898842941,28.4636792232,28.4195787788,28.5449468288,27.9296380046,29.1268914155,30.45006993,31.9152855374,GN-K,ADM1,4,3,3,GIN,GIN-ADM1-56622519B14513914,Kankan,ADM1
4,0.0317854381296,24.0448474884,0.0,3864.14401865,122010.748789,0.0099776999054,17.6882266998,0.0,1213.48143959,122010.748789,0.00688116666355,24.7116298676,0.0,836.181769371,122010.748789,0.015983271495,13.1049757004,0.0,1942.40413094,122010.748789,0.0134230992593,11.8966226578,0.0,1631.68466949,122010.748789,0.0113640693981,38.638835907,0.0,1382.03067589,122010.748789,0.025626301752,19.1800422668,0.0,3116.19191742,122010.748789,0.0366148339101,18.4432411194,0.0,4450.84976101,122010.748789,0.0294543451134,22.1676101685,0.0,3580.88078403,122010.748789,24.5006266908,24.4789970085,24.4371427416,23.3696373338,21.7743047917,22.4332174191,23.1433837947,23.9094297223,GN-D,ADM1,5,4,4,GIN,GIN-ADM1-56622519B5722511,Kindia,ADM1
5,0.00214990743826,2.44744491577,0.0,233.141874313,108595.558685,0.00159680370879,3.22236871719,0.0,173.183473587,108595.558685,0.00121738451631,2.88748979568,0.0,132.022779346,108595.558685,0.00233786799011,3.53922820091,0.0,253.547693253,108595.558685,0.0015553959608,2.49135708809,0.0,168.699620247,108595.558685,0.00117261337305,2.0841422081,0.0,127.190995216,108595.558685,0.00315016736174,2.95126485825,0.0,341.673334122,108595.558685,0.00248575903099,2.79615259171,0.0,269.546375275,108595.558685,0.00316059725071,3.43148374557,0.0,342.762992859,108595.558685,29.0875354033,29.0685498932,29.030599881,29.4351297952,27.9213655364,28.4040300901,28.9099322347,29.4403244028,GN-L,ADM1,6,5,5,GIN,GIN-ADM1-56622519B70853212,Labe,ADM1
6,0.00847115669903,7.58843278885,0.0,717.70462513,84745.8813477,0.00552591516851,6.49054288864,0.0,468.292564631,84745.8813477,0.00468867007394,5.79656457901,0.0,397.405004799,84745.8813477,0.00804690811185,9.18770503998,0.0,681.88916254,84745.8813477,0.00745199519192,9.44201278687,0.0,631.543013096,84745.8813477,0.00511972605576,7.24592876434,0.0,433.934661984,84745.8813477,0.0100432389913,10.0697879791,0.0,850.997315407,84745.8813477,0.0107093668119,7.85778284073,0.0,907.431865692,84745.8813477,0.0108250018028,10.269774437,0.0,917.204843044,84745.8813477,24.86988013,24.8675923178,24.8435018372,25.1254108269,23.3225216794,23.6438743343,23.9843536737,24.3451611233,GN-M,ADM1,7,6,6,GIN,GIN-ADM1-56622519B14098499,Mamou,ADM1
7,0.00135775555588,9.65242385864,0.0,234.602482378,173211.19751,0.00182294495761,10.1726264954,0.0,315.309642792,173211.19751,0.00176526063069,8.93859195709,0.0,305.350107193,173211.19751,0.00195707452607,8.01281929016,0.0,338.509429723,173211.19751,0.00181885593059,7.81068372726,0.0,314.499659956,173211.19751,0.00214786071343,14.594874382,0.0,371.460899474,173211.19751,0.00287965325178,7.11986160278,0.0,497.751526713,173211.19751,0.00135880006578,8.10801410675,0.0,234.737753212,173211.19751,0.00190807536896,7.88955450058,0.0,329.891484499,173211.19751,20.5569710535,20.5848845445,20.57294384,20.308563507,19.6487720525,19.9852305763,20.4160558031,20.9551556878,GN-N,ADM1,8,7,7,GIN,GIN-ADM1-56622519B96181390,Nzerekore,ADM1
