asdf_id,viirs_ntl_annual_v20_avg_masked.2019.max,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2019.min,viirs_ntl_annual_v20_avg_masked.2019.sum,viirs_ntl_annual_v20_avg_masked.2019.count,viirs_ntl_annual_v20_avg_masked.2014.max,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2014.min,viirs_ntl_annual_v20_avg_masked.2014.sum,viirs_ntl_annual_v20_avg_masked.2014.count,viirs_ntl_annual_v20_avg_masked.2012.max,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2012.min,viirs_ntl_annual_v20_avg_masked.2012.sum,viirs_ntl_annual_v20_avg_masked.2012.count,viirs_ntl_annual_v20_avg_masked.2016.max,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2016.min,viirs_ntl_annual_v20_avg_masked.2016.sum,viirs_ntl_annual_v20_avg_masked.2016.count,viirs_ntl_annual_v20_avg_masked.2015.max,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2015.min,viirs_ntl_annual_v20_avg_masked.2015.sum,viirs_ntl_annual_v20_avg_masked.2015.count,viirs_ntl_annual_v20_avg_masked.2013.max,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2013.min,viirs_ntl_annual_v20_avg_masked.2013.sum,viirs_ntl_annual_v20_avg_masked.2013.count,viirs_ntl_annual_v20_avg_masked.2017.max,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2017.min,viirs_ntl_annual_v20_avg_masked.2017.sum,viirs_ntl_annual_v20_avg_masked.2017.count,viirs_ntl_annual_v20_avg_masked.2020.max,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2020.min,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2020.count,viirs_ntl_annual_v20_avg_masked.2018.max,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2018.min,viirs_ntl_annual_v20_avg_masked.2018.sum,viirs_ntl_annual_v20_avg_masked.2018.count,ambient_air_pollution_2013_fus_calibrated.1990.mean,ambient_air_pollution_2013_fus_calibrated.1995.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2015.max,oco2_v10r_xco2_yearly.2015.min,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2017.max,oco2_v10r_xco2_yearly.2017.min,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2019.max,oco2_v10r_xco2_yearly.2019.min,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2020.max,oco2_v10r_xco2_yearly.2020.min,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2018.max,oco2_v10r_xco2_yearly.2018.min,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2016.max,oco2_v10r_xco2_yearly.2016.min,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,53.0052146912,14.0589157183,0.0,16625.2109375,1188.15002441,49.8105545044,9.765373026,0.0,11559.5283203,1188.15002441,50.1339797974,9.06924861701,0.0,10736.0703125,1188.15002441,46.4530563354,11.3888458516,0.0,13476.6318359,1188.15002441,43.9442977905,10.4453742582,0.0,12361.3183594,1188.15002441,58.8575248718,9.68978141813,0.0,11472.578125,1188.15002441,44.4440002441,12.6941253768,0.0,15016.8027344,1188.15002441,45.9122810364,13.9164134141,1.19592273235,16451.7636719,1188.15002441,51.6985816956,13.3858951191,0.0,15830.3144531,1188.15002441,26.9154449688,27.2942376718,27.4938995113,27.3743321881,26.5734233291,26.6940985797,26.816927099,26.9419418929,400.771224755,401.089333984,399.533417143,405.990902907,406.440930176,405.556672237,410.5932829,410.883233286,410.002042771,411.710886192,412.30260647,411.120353971,408.925695834,409.186585934,408.617258931,397.915575176,398.290777053,397.411325526,ADM1,0,MLI,MLI-ADM1-92416918B76877490,ML-BKO,Bamako,ADM1
1,9.70072841644,0.000836409056308,0.0,727.356899977,872343.574287,7.21340894699,0.000316969978428,0.0,275.749746084,872343.574287,0.721627295017,8.73293314e-06,0.0,7.59756088257,872343.574287,11.1996650696,0.000598957399056,0.0,520.984586716,872343.574287,8.17834854126,0.000440944361048,0.0,383.547906876,872343.574287,2.12471318245,5.01521953801e-05,0.0,43.6316027641,872343.574287,10.4871826172,0.000741190917519,0.0,644.628361702,872343.574287,10.5039348602,0.000887247075562,0.0,771.623733521,872343.574287,8.8179101944,0.00076071726344,0.0,661.561684608,872343.574287,38.5817301945,38.4058826474,38.2713069558,39.13767535,36.9456706179,37.2935726733,37.6704648493,38.0775823169,399.057441769,402.5469,394.267200001,405.413068181,409.252973333,401.811312167,409.760736999,414.10108375,404.78708,411.858888519,416.170969294,406.9246,407.78668188,411.0997,402.238950001,402.592647915,407.46005,398.2782,ADM1,1,MLI,MLI-ADM1-92416918B30972134,ML-7,Gao,ADM1
2,52.5493659973,0.0100662018746,0.0,5936.26607192,590723.906067,32.7968406677,0.00545519523462,0.0,3218.02968001,590723.906067,25.7247638702,0.00428559573194,0.0,2528.44244289,590723.906067,29.3264560699,0.00718191688539,0.0,4234.82698844,590723.906067,24.8757743835,0.00598454492277,0.0,3529.21908224,590723.906067,37.626865387,0.00550453991835,0.0,3247.47401288,590723.906067,35.1511688232,0.00934342162692,0.0,5509.35674435,590723.906067,46.2406806946,0.0100908953508,0.0,5952.76319468,590723.906067,50.5223693848,0.00937438673161,0.0,5528.13541162,590723.906067,36.5019591004,36.4114224038,36.3296375787,36.475705168,36.0125151562,37.0772505528,38.1943380279,39.3667326518,400.26780942,403.798989999,394.103737604,406.722814007,410.22293,400.548565,410.562671711,414.38583,404.48976,413.839542113,417.373735,404.013460001,409.038105136,411.96,400.237520001,403.71653554,409.79097,398.24463,ADM1,2,MLI,MLI-ADM1-92416918B72261864,ML-1,Kayes,ADM1
3,35.7482376099,0.000593952062187,0.0,438.19370079,744464.852406,13.540473938,0.000242570715711,0.0,178.242052078,744464.852406,16.7112045288,0.000285148818452,0.0,209.570308685,744464.852406,25.1733379364,0.000366774524665,0.0,270.8227911,744464.852406,10.8889493942,0.000251179265921,0.0,184.792312622,744464.852406,17.9100837708,0.000247480284817,0.0,181.458709717,744464.852406,22.6074199677,0.000412784552483,0.0,304.319678307,744464.852406,33.2294425964,0.000686916651608,0.0,505.906163692,744464.852406,23.8668651581,0.000473196719912,0.0,348.615359306,744464.852406,53.6530529255,53.4761615475,53.3381425143,54.5011946453,53.3181043109,53.6325948331,53.9639358895,54.3126444899,399.283274762,402.23596,396.030876401,405.430107626,409.34784,402.513486,409.512360142,412.844126667,406.055144603,411.922823145,417.97522,407.20926,407.658019546,410.64536,403.078250001,402.732761387,407.288523333,399.38633,ADM1,3,MLI,MLI-ADM1-92416918B32728181,ML-8,Kidal,ADM1
4,30.6152420044,0.030013822975,0.0,12933.7537212,435992.194809,25.7864170074,0.0111460291371,0.0,4783.88908482,435992.194809,38.7437782288,0.00931835454336,0.0,3994.55139232,435992.194809,32.8515625,0.0173104625602,0.0,7446.85540795,435992.194809,27.1588287354,0.013929758582,0.0,5985.33422089,435992.194809,32.9279632568,0.00986274210978,0.0,4229.53271341,435992.194809,37.4751396179,0.024141959869,0.0,10399.728641,435992.194809,30.5295314789,0.0340280041077,0.0,14671.2216682,435992.194809,36.3378639221,0.0274878133485,0.0,11842.6052885,435992.194809,33.5140756793,33.4404792826,33.3705320013,34.2546426505,33.6916532977,34.5453450805,35.4634771664,36.4503527355,399.98427573,403.120035,393.123556667,405.615538631,409.34718,402.46195,410.028291213,413.91319,400.2822,412.311067679,415.988974444,408.50121,408.764056199,411.62103,405.789940016,401.357566064,407.422528235,395.0305525,ADM1,4,MLI,MLI-ADM1-92416918B78388911,ML-2,Koulikouro,ADM1
5,13.4232330322,0.00355714651534,0.0,1361.36144493,383182.400848,11.0379219055,0.00298066140085,0.0,1140.6904892,383182.400848,10.3500099182,0.00196556084827,0.0,752.17727252,383182.400848,12.9149093628,0.0028508586295,0.0,1091.15135163,383182.400848,10.8150367737,0.0029159490357,0.0,1116.05611579,383182.400848,11.2592468262,0.00224461224044,0.0,858.8900935,383182.400848,13.2353630066,0.00370041047645,0.0,1416.20023372,383182.400848,14.9515342712,0.00379471366653,0.0,1452.38788986,383182.400848,12.1365280151,0.00366221905316,0.0,1401.54830626,383182.400848,38.1221411757,37.9697691372,37.8506239262,38.5795001748,37.8244792615,39.270093034,40.8152763852,42.468970579,399.834606874,402.898571667,394.35788,405.295618735,409.251006589,401.00494,409.978391954,413.153198,405.341948334,411.827912518,417.30794,403.8104575,408.890323919,412.89386,404.94412,403.495047171,406.260888,394.761170001,ADM1,5,MLI,MLI-ADM1-92416918B80310325,ML-5,Mopti,ADM1
6,30.2988014221,0.0116311838033,0.0,3470.26617432,298759.081207,14.1931533813,0.00581162105545,0.0,1734.38254547,298759.081207,10.9807596207,0.00512776064464,0.0,1530.21771765,298759.081207,14.8415727615,0.00773651065559,0.0,2308.56515121,298759.081207,11.4577484131,0.00690848396414,0.0,2061.77316284,298759.081207,17.2546234131,0.0053354190055,0.0,1592.26097107,298759.081207,20.057674408,0.0115962759018,0.0,3460.01652908,298759.081207,22.3416137695,0.0117207772454,0.0,3497.12046814,298759.081207,28.6346073151,0.0115619941638,0.0,3449.75434875,298759.081207,32.3947456604,32.2843148906,32.1922206796,33.4870264586,32.2164079543,32.9821619622,33.7897369068,34.6419151929,399.211545952,403.1628,393.596625,405.894830445,409.85742,403.39438,410.43400743,413.526305555,404.434020001,412.039890597,417.89807,403.8104575,407.395780883,411.853055,398.9617,403.150950891,405.738596,399.626309312,ADM1,6,MLI,MLI-ADM1-92416918B74350774,ML-4,Segou,ADM1
7,24.1589412689,0.0137545523891,0.0,4710.52313042,342550.523868,22.5747947693,0.00779173457566,0.0,2669.84070778,342550.523868,25.4444904327,0.00665190578236,0.0,2279.37049818,342550.523868,21.779838562,0.00920383243119,0.0,3153.7528038,342550.523868,24.7601337433,0.00868148249261,0.0,2974.64410305,342550.523868,31.7452812195,0.00798071771123,0.0,2734.47257328,342550.523868,23.2104110718,0.0123594983879,0.0,4233.82358551,342550.523868,23.1720962524,0.0143594849766,0.0,4916.18362808,342550.523868,25.3880119324,0.0134243617493,0.0,4597.5780201,342550.523868,26.6554071342,26.595858041,26.5312017194,27.8643947532,25.2312950723,25.6206379857,26.0298844995,26.4602306874,400.439421701,402.4901475,395.579899143,406.138231724,409.15892,402.113906667,410.502248253,413.906502105,404.989581818,413.080655936,417.407425,406.97876,408.258147014,411.4377,401.003020001,403.539061689,407.49682625,395.9327,ADM1,7,MLI,MLI-ADM1-92416918B6031110,ML-3,Sikasso,ADM1
8,17.8438110352,0.000399904900954,0.0,973.32484889,2486311.79001,13.2550039291,0.000176645105297,0.0,430.049280167,2486311.79001,2.0857834816,1.31733862303e-05,0.0,32.0999641418,2486311.79001,14.1980209351,0.000301147699606,0.0,732.80009985,2486311.79001,12.9418201447,0.000283810691326,0.0,690.46131134,2486311.79001,1.09078526497,3.83634347146e-06,0.0,9.34805107117,2486311.79001,13.8537197113,0.000375109127173,0.0,912.842100501,2486311.79001,15.8437166214,0.000341744826326,0.0,832.014447927,2486311.79001,17.0463199615,0.00042159698407,0.0,1026.01082516,2486311.79001,103.701746172,103.564335361,103.450629774,103.185645522,102.398011884,103.836343374,105.346221782,106.933560451,399.504806421,404.803264,397.2048725,404.847448234,408.824133571,400.8984575,409.130459651,413.32822,405.416516667,412.00451831,417.07422,405.738007143,408.054891077,411.8578,403.228900001,402.677968645,406.5441,398.666776667,ADM1,8,MLI,MLI-ADM1-92416918B22358092,ML-6,Tombouctou,ADM1
