,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,PM2.5AirPollution,OzoneAirPollution,Population,supprimer,Year
32,NGA,Fct,129.7198748,26.9647569463,0.646449549453,36129.9068127,36079.5605803,28.7566463914,73.7310651775,2458760.25,9045.6796875,2012
33,NGA,Bayelsa,243.4531541,26.6597233419,1.38648290408,44172.6411133,44092.8007812,12.9589541031,66.757311027,1979999.375,11028.9501953,2012
34,NGA,Enugu,132.062582292,27.1322416763,0.160803888457,35975.5406494,35909.4685059,23.3894820489,75.8998464971,3813229.5,9010.29980469,2012
35,NGA,Lagos,150.754261379,26.8605113619,2.54878999012,17805.9414062,17747.7207031,21.5049037748,78.8485643131,10542270.0,3939.39013672,2012
36,NGA,Ebonyi,141.313197465,27.1860027796,0.0260842968492,30603.7709885,30537.1996765,22.1849189253,73.0087824242,2674024.0,7667.50976562,2012
0,TGO,Savanes Region,97.9467889905,28.6918247771,0.00821289548892,41289.6206055,41206.588623,29.5123785022,64.3608153457,893362.8125,10343.0,2012
1,TGO,Kara Region,115.241869806,27.0045150191,0.0149093919786,54639.9372559,54541.6936035,29.8797005954,74.1610833778,796363.125,13683.8808594,2012
2,TGO,Centrale Region,116.301355038,26.3604312892,0.00671749226003,62702.7802734,62614.6816406,26.4689240036,78.5090318077,661265.3125,15697.7402344,2012
3,TGO,Plateaux Region,97.5508486668,26.5585596703,0.00703754915384,81204.9233398,81111.0595703,22.0457056283,75.0204393409,1439760.5,20303.1210938,2012
4,TGO,Maritime Region,85.0363011324,27.5626362974,0.239184412666,29811.8588867,29754.0991211,20.8051364604,71.8092191818,2661985.75,7441.43017578,2012
0,GIN,Boke,169.612939002,27.3529080622,0.00766298350111,163525.73877,163264.536804,31.2231027807,55.8888114668,1043062.54688,40899.2285156,2012
1,GIN,Conakry,227.683333333,26.0583333333,1.72843021747,2091.11010742,2069.2199707,27.768503456,57.8150846771,1535212.25,521.309997559,2012
2,GIN,Faranah,138.199167131,25.4866865147,0.000550435740732,170058.763674,169815.959845,30.1863287037,60.5591457804,892074.39209,42573.0410156,2012
3,GIN,Kankan,133.397881332,25.7431047678,0.00362805793405,341635.41114,341378.612385,30.45006993,61.6622663148,1823578.76044,85463.9520731,2012
4,GIN,Kindia,178.712213975,26.4134868932,0.00688116666355,122010.748789,121834.621602,23.1433837947,56.8693651207,1464203.03101,30536.669209,2012
5,GIN,Labe,135.617183524,25.3126880547,0.00121738451631,108595.558685,108478.479031,28.9099322347,55.8491873372,970952.5,27174.6796875,2012
6,GIN,Mamou,139.504589959,24.3138976033,0.00468867007394,84745.8813477,84633.0180664,23.9843536737,58.4790836989,714817.125,21213.7402344,2012
7,GIN,Nzerekore,173.148359205,24.4398188091,0.00176526063069,173211.19751,172984.77417,20.4160558031,65.2910551903,1545295.55469,43359.2427979,2012
0,GNB,Bissau,,,0.549357563227,907.640014648,899.109985352,26.0271690318,51.5457836966,384289.34375,116.940002441,2012
