,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,Population,supprimer,CO2 concentration (in parts per million),Year,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count
2,GIN,Faranah,138.587808487,25.8762604076,0.00141579457247,170058.763674,169815.959845,960171.334473,42573.0410156,401.240898174,2015,1123549.9248,42575.4516602,,
3,GIN,Kankan,113.999629086,26.4722078205,0.00357587694421,341635.41114,341378.612385,2052577.26167,85463.9520731,401.285240693,2015,2396346.51169,85473.1089067,,
4,GIN,Kindia,169.16926043,26.3784636461,0.0134230992593,122010.748789,121834.621602,1647982.73313,30536.669209,401.066424582,2015,1933261.03907,30536.57125,,
5,GIN,Labe,146.049436735,25.487118994,0.0015553959608,108595.558685,108478.479031,1008566.625,27174.6796875,400.1675304,2015,1177128.625,27178.0507812,,
6,GIN,Mamou,141.171678574,24.3957461557,0.00745199519192,84745.8813477,84633.0180664,737750.3125,21213.7402344,400.194773355,2015,860894.0625,21214.9804688,,
7,GIN,Nzerekore,124.240631377,25.0989163546,0.00181885593059,173211.19751,172984.77417,1601885.26562,43359.2427979,401.544268786,2015,1867087.10938,43359.5406494,,
0,GNB,Bissau,,,1.07753566771,907.640014648,899.109985352,427834.125,116.940002441,399.464019924,2015,458904.71875,118.86000061,,
1,GNB,Bafatá,116.90173410475238,27.56751310835836,0.00103586140721,28729.609375,28655.7382812,227905.375,7185.95996094,402.181950286,2015,253740.546875,7200.69042969,,
2,GNB,Biombo,97.66666666666669,27.53333333333333,0.0325322947189,4124.53027344,4104.99023438,130473.0625,962.720031738,399.134292162,2015,156348.609375,963.320007324,,
3,GNB,Bolama,153.07356011478063,26.61950967578953,0.000247773906665,6588.20996094,6354.80029297,29185.4765625,1674.62011719,400.695027388,2015,32478.3027344,1673.62011719,,
4,GNB,Cacheu,98.13533559073416,27.53682527807597,0.000728063169124,24863.1408691,24800.880127,206457.234375,5920.04980469,399.491937422,2015,232795.0625,5946.5,,
5,GNB,Gabu,112.48182176867384,27.30791316001693,0.000430995572676,43623.2373047,43534.1479492,236735.84375,10926.0996094,401.944339995,2015,262641.6875,10928.140625,,
6,GNB,Oio,108.05887666088968,27.6359339329924,0.0,27219.0585938,27163.9609375,241466.875,6590.5703125,400.957662487,2015,270936.65625,6612.21972656,,
7,GNB,Quinara,149.2274128424009,27.457819847086107,0.000743172546527,15505.0791016,15454.0898438,63919.234375,3545.59008789,401.889622943,2015,71851.1640625,3564.98974609,,
8,GNB,Tombali,166.6276995936223,27.47245252188664,0.000813550320038,17728.8398438,17674.9199219,98189.6328125,4277.45996094,401.75476779,2015,107622.5,4279.81005859,,
0,LBR,Bomi,241.418410781,25.9824612414,0.00108908317565,9028.86035156,8992.41113281,90088.203125,2266.4699707,400.475111502,2015,100598.429688,2265.91992188,,
1,LBR,Bong,157.521960907,26.0119827173,0.00237872844115,41117.24086,41027.2099304,362466.375,10301.7304688,401.109836063,2015,403701.59375,10301.3603516,,
2,LBR,Gbarpolu,165.455527818,25.8269796193,8.85271906003e-05,46506.1293359,46420.9919141,99019.984375,11647.7792969,400.791460274,2015,111457.921875,11647.9003906,,
3,LBR,Grand Bassa,218.050494354,26.2649478735,0.00707229837217,37026.3112793,36940.5283203,241255.375,9276.49023438,397.957382995,2015,270528.90625,9276.04003906,,
4,LBR,Grand Cape Mount,222.121774651,26.1389736107,0.00521237986693,22337.7499962,22275.1886063,151324.375,5598.35986328,399.822870485,2015,165186.03125,5597.72998047,,
5,LBR,Grand Gedeh,159.592922379,26.7699035893,0.00095599918933,50590.9820557,50493.9277954,152957.96875,12672.2402344,400.007099622,2015,171041.796875,12671.2900391,,
6,LBR,Grand Kru,224.250585725,25.6644336055,0.0,18132.5195312,18088.46875,56416.6914062,4543.80029297,399.357928953,2015,63273.5390625,4544.22998047,,
7,LBR,Lofa,162.034534165,25.0129784089,0.000852648036933,46739.4282227,46639.9689941,311591.5625,11709.4003906,401.756638517,2015,349091.71875,11709.9599609,,
8,LBR,Margibi,214.112884324,26.5672258652,0.0497746247743,12089.640625,12036.0800781,241662.75,3035.7199707,400.508000915,2015,295178.5,3035.58007812,,
9,LBR,Maryland,216.590334662,25.5398439125,0.00386745148741,10707.5800781,10665.0400391,159186.828125,2687.77978516,398.978645254,2015,177519.453125,2687.26000977,,
10,LBR,Montserrado,226.137474749,26.3591831878,0.163171728324,8797.63085938,8744.80957031,1228311.75,2211.95996094,401.339782678,2015,1328802.5,2212.63989258,,
11,LBR,Nimba,142.634628374,26.1618120582,0.00321222629483,53945.1479568,53842.318058,513133.40625,13511.9199219,400.961981291,2015,569627.875,13511.7695312,,
12,LBR,River Gee,201.271973565,25.9594089314,0.000182250586604,23811.3007812,23749.9902344,78525.1796875,5967.86962891,398.075137241,2015,87056.875,5968.31982422,,
13,LBR,Rivercess,211.205200615,26.2371930959,2.45353204963e-05,26086.8789062,26022.6699219,84676.359375,6537.79052734,399.548716522,2015,94303.796875,6537.62988281,,
14,LBR,Sinoe,241.926111812,25.9245467669,0.000564633389468,45472.8093262,45403.1600342,115542.40625,11385.8398438,399.931291684,2015,129467.53125,11385.3496094,,
0,SLE,Southern,186.264943523,26.7414351729,0.00279728117129,95473.1290894,95291.2891541,1396685.375,23902.2480469,401.318396338,2015,1457680.625,23906.5488281,,
1,SLE,Eastern,166.456001071,25.9797068873,0.00553405269506,74258.9509277,74137.6126709,1386487.75,18595.21875,401.306155389,2015,1441658.0,18594.5507812,,
2,SLE,Western Area,181.708333333,27.0416666667,0.442369454493,3275.56005859,3247.8203125,1174433.0,825.33996582,400.851905246,2015,1173137.5,825.229980469,,
3,SLE,Northern,162.560364033,26.5843673344,0.00610156285336,171057.810059,170863.036621,2097933.85938,42796.2685547,401.168125372,2015,2237488.5625,42799.0107422,,
0,BEN,Alibori,87.97972475592648,28.805141470726845,0.00188025318895,126223.022202,126117.910782,954127.4375,31581.7382812,401.372132928,2015,961892.9375,31582.4101562,,
1,BEN,Borgou,86.79768551584475,27.259057497594657,0.0126649874213,123690.443886,123579.085693,1333501.06573,30949.8393841,400.548870562,2015,1344339.69031,30950.0007095,,
2,BEN,Atakora,85.71479646343934,28.09680011039933,0.00536384490469,99567.0976562,99463.8994141,893766.25,24917.6191406,401.130024424,2015,902525.5,24917.0800781,,
3,BEN,Donga,90.9848036753542,26.9140046709967,0.011314118236,51530.2109375,51461.6601562,584882.1875,12900.7998047,400.974723451,2015,587996.625,12899.640625,,
4,BEN,Collines,72.65469852860033,27.456489609712904,0.00646851725616,66975.7133789,66901.7185059,755960.75,16761.6796875,401.950934814,2015,760992.625,16762.609375,,
5,BEN,Plateau,79.15803284945534,27.7312211398173,0.0397098182439,14658.9199219,14614.7001953,642489.5625,3675.25976562,398.766751791,2015,645689.375,3675.18994141,,
6,BEN,Zou,70.57959623336633,27.99016273469271,0.0394632676468,24505.7402344,24465.8007812,910130.375,6136.90039062,400.187063662,2015,918716.875,6136.45996094,,
7,BEN,Kouffo,76.48688984075271,27.78676499379984,0.0170657579659,10071.4101562,10034.7597656,666484.25,2527.0,398.661398964,2015,668039.3125,2527.5,,
8,BEN,Atlantique,79.52559524092644,27.78303571429297,0.249821893179,14682.4101562,14651.6904297,1393574.5,3563.2800293,400.565568577,2015,1481638.375,3677.76000977,,
9,BEN,Littoral,,,9.32509404761,344.020019531,337.679992676,773086.875,87.5699996948,398.341842931,2015,696448.9375,87.4199981689,,
10,BEN,Mono,76.5569208997811,27.775423728802853,0.0920536126829,9094.12011719,9057.91992188,642079.875,2219.43994141,398.933309662,2015,654562.875,2282.10009766,,
11,BEN,Ouémé,85.46458324990236,27.715625000970128,0.518711391419,6282.25,6256.91992188,1151907.0,1531.52001953,399.333816202,2015,1170905.25,1576.98999023,,
0,BFA,Centre,76.1625246283,28.852265003,1.06059426761,13779.5595703,13734.6103516,3053779.0,3456.08007812,400.578355739,2015,2903596.25,3456.02001953,,
1,BFA,Boucle du Mouhoun,80.3107862405,28.806920018,0.00764671398031,165693.285156,165510.396362,1742572.99219,41458.2108154,400.501262264,2015,1658954.65234,41469.1234741,,
2,BFA,Cascades,97.7584779883,28.0074571821,0.00684892379751,88442.5957031,88317.2412109,852668.5,22141.8398438,401.660223929,2015,812291.5,22142.0800781,,
3,BFA,Centre-Est,79.7656720436,29.0361410968,0.014289805162,70294.0722656,70176.4904785,1478771.0,17552.0605469,400.48136881,2015,1408902.125,17602.3808594,,
4,BFA,Centre-Nord,63.7218294051,29.0542636589,0.0102911652932,94611.5498047,94502.6884766,1522180.5,23678.2011719,399.65807655,2015,1449498.0,23679.6503906,,
5,BFA,Centre-Ouest,75.2936056174,28.5562481961,0.0129397998456,104415.443558,104272.144073,1506272.125,26139.640625,400.304713354,2015,1434717.625,26139.9394531,,
6,BFA,Centre-Sud,79.4244048369,28.7869760414,0.00517097332398,55060.940918,54961.090332,780156.25,13727.9296875,400.205442544,2015,744688.75,13790.1396484,,
7,BFA,Est,70.8433273287,29.1741027149,0.00248365442297,223000.843321,222814.936029,1681665.85156,55739.9174805,400.016740875,2015,1602914.55469,55795.9521484,,
8,BFA,Hauts-Bassins,94.4303703733,28.096962822,0.0395639302927,122370.064575,122217.230835,2050740.125,30629.8486328,400.71643517,2015,1952309.90625,30630.6210938,,
9,BFA,Nord,74.6195051213,28.9868222985,0.00945866483231,78994.2802734,78891.5449219,1426332.125,19763.9707031,399.820742395,2015,1358896.5,19774.0585938,,
10,BFA,Plateau Central,73.3044147948,28.8105005513,0.01088209505,41304.8790283,41203.770752,833951.25,10351.0195312,399.902068018,2015,798290.4375,10351.4101562,,
11,BFA,Sahel,52.0482128292,29.6938918542,0.00574376242003,174510.927002,174345.167725,1270513.75,43668.9382324,399.512476943,2015,1209758.57812,43669.0214844,,
12,BFA,Sud-Ouest,94.5512551751,28.051244608,0.00506767805195,77838.2597046,77722.3005371,798702.6875,19488.7089844,400.28831359,2015,761630.125,19489.0097656,,
0,CIV,Bas-Sassandra,131.130543286,26.3031826732,0.0417505366627,132830.353516,132690.60498,2340101.39844,33163.3708496,398.13756743,2015,2289308.01562,33233.9506836,,
1,CIV,Denguele,68.4804021596,26.9432847929,0.0265123482445,98775.8881164,98643.3402209,293150.59375,24727.109375,401.28798013,2015,286789.59375,24727.2597656,,
2,CIV,District Autonome D'Abidjan,159.138889233,27.0490440301,3.92803212771,10088.9599609,10055.2207031,4822195.0,2476.86010742,400.019028873,2015,4695915.0,2525.35009766,,
3,CIV,District Autonome De Yamoussoukro,90.5386010527,27.0699485711,0.908000895611,9782.2890625,9751.37988281,363804.0,2441.89013672,401.67639927,2015,353032.5,2453.22998047,,
4,CIV,Goh-Djiboua,125.714292692,26.6863763568,0.107596149039,73843.7490234,73747.0512695,1651372.75,18456.4902344,399.721613416,2015,1611822.25,18484.7402344,,
5,CIV,Lacs,77.5038321125,27.5053785404,0.0798914566308,123020.239785,122872.629795,1290531.47113,30703.3279591,401.358649945,2015,1261994.82487,30792.1195116,,
6,CIV,Montagnes,124.228451736,26.0630039177,0.0252638011952,144606.432617,144447.019287,2452515.99219,36177.1293945,399.284242014,2015,2393057.76562,36191.4702148,,
7,CIV,Sassandra-Marahoue,102.579654796,26.5676758574,0.060874300752,112664.632812,112559.115234,2358408.75,28080.8203125,400.037972524,2015,2301523.75,28192.6699219,,
8,CIV,Savanes,78.4813074646,27.3997057206,0.0866966127388,190434.554688,190193.130493,1665419.35352,47668.8128662,401.731603843,2015,1623945.88281,47669.0900879,,
9,CIV,Valle Du Bandama,71.6506431746,27.1106907716,0.0835761476801,133814.413982,133653.794477,1468521.36716,33457.6300297,401.716197118,2015,1431634.87719,33493.5429106,,
10,CIV,Woroba,77.4016905739,26.3927821431,0.0217266822342,146744.408997,146548.888611,869741.40625,36735.8574219,401.258272604,2015,848457.125,36734.0478516,,
11,CIV,Zanzan,82.8542772616,27.4709571963,0.0176590878905,180864.632812,180700.786743,956348.1875,45257.0087891,400.964924576,2015,934388.90625,34844.3193359,,
12,CIV,Lagunes,117.974680311,27.1664166543,0.0663044144098,96986.4418945,96829.5788574,1510155.125,24018.6601562,398.903849404,2015,1482188.875,24279.5878906,,
13,CIV,Comoe,113.2332678,26.8954786195,0.103680567016,65952.927002,65814.2583008,1212749.25,16165.6796875,399.135978652,2015,1173607.0,16495.6484375,,
0,GMB,Central River,65.0964432859,28.5381546351,0.0,14416.9804688,14374.4794922,231705.6875,3615.08984375,401.431847106,2015,225511.59375,3614.8203125,,
1,GMB,Western Division,97.5669414072,26.2476190466,0.239022134064,9083.49023438,9038.51953125,850122.25,2226.75,398.411753654,2015,848267.1875,2230.50976562,,
2,GMB,Greater Banjul Area,98.4416666667,25.9166666667,3.67002357655,410.130004883,404.270019531,312127.40625,93.6499938965,398.925390753,2015,299966.71875,93.3499984741,,
3,GMB,North Bank Division,80.2756719518,27.0609906877,9.6852965023e-05,10405.2597656,10375.2802734,226737.28125,2565.67993164,396.843461177,2015,224682.390625,2574.4699707,,
4,GMB,Lower River,89.4955600116,27.3287834118,0.0,7221.90966797,7176.07958984,81930.625,1796.34997559,396.640661844,2015,77924.234375,1799.63989258,,
5,GMB,Upper River,62.3580817438,28.6219384554,0.000459681247246,9717.54003906,9687.109375,244736.6875,2436.98999023,401.797671944,2015,237306.78125,2436.81982422,,
0,GHA,Western North Region,114.202853169,26.5054393275,0.0352784533958,48415.5773726,48332.4696474,783695.0,12124.8203125,398.265999956,2015,752931.0,12124.7890625,,
1,GHA,Ahafo Region,102.486933491,26.8082478761,0.099048184064,23843.3386993,23783.2799072,519902.125,5976.45019531,399.777415581,2015,503652.53125,5975.91992188,,
2,GHA,Bono East Region,95.1261471058,28.060260329,0.0251697339557,109476.660156,109328.411621,1015353.5,26747.6083984,401.042497836,2015,973257.75,27405.6015625,,
3,GHA,Savannah Region,82.1672455001,28.432909885,0.00873084141044,166309.196838,166096.151855,583337.474121,41258.7102051,401.603958497,2015,587229.389648,41629.8503113,,
4,GHA,North East Region,83.3708056903,28.7704848055,0.0145396577584,44061.9291992,43937.3720703,568023.6875,11046.0195312,401.315978133,2015,547976.625,11046.9101562,,
5,GHA,Oti Region,89.7138805563,27.546094831,0.0137554444881,52202.6530762,52095.5998535,694615.25,11775.7607422,401.658910547,2015,671502.0,13077.2597656,,
6,GHA,Western Region,117.184685644,26.8326642557,0.175689339391,65198.90625,65104.1123047,1856618.0,16301.5595703,399.089323541,2015,1810518.75,16322.2705078,,
7,GHA,Eastern Region,94.3298478293,27.5583566058,0.120522957119,88038.8535156,87949.8291016,2920406.0,20454.9609375,401.502541162,2015,2864357.5,22031.9199219,,
8,GHA,Northern Region,82.0411161919,28.4697890452,0.0472495072903,116424.214569,116227.612976,1769199.40625,29132.0406494,401.885420757,2015,1691010.11133,29154.582489,,
9,GHA,Central Region,95.8910390865,27.2608827229,0.293837649402,47173.230957,47075.5493164,2570440.25,11817.0195312,399.484808538,2015,2505282.75,11817.7597656,,
10,GHA,Ashanti Region,101.33764535,27.3125817942,0.236051199769,115828.571777,115677.171387,5658916.88086,28953.5327148,400.838237658,2015,5456771.03516,28995.1201172,,
11,GHA,Bono Region,93.7058141193,27.2764658999,0.0766098975322,55077.0378418,54983.8604431,1048589.875,13791.9091797,400.551388753,2015,1010433.8125,13792.0898438,,
12,GHA,Volta Region,85.506233553,27.6714170287,0.152083231641,48727.7495117,48639.690918,1915563.875,11508.8994141,400.597679356,2015,1883479.25,12034.2207031,,
13,GHA,Upper West Region,85.7535488917,28.2509222258,0.0278181051005,92748.0527344,92651.9287109,777299.875,23210.0507812,400.747843939,2015,743674.75,23210.25,,
14,GHA,Upper East Region,85.2390854217,28.829575155,0.0724048336375,41412.2705078,41322.171875,1117951.0,10371.6289062,401.458902394,2015,1067759.375,10374.9804688,,
15,GHA,Greater Accra Region,59.1334321154,27.7403426952,3.61551962407,15111.0205078,15063.4990234,4656437.0,3780.43017578,398.901856547,2015,4404028.5,3785.80029297,,
0,SEN,Dakar,60.5916666667,25.6333333333,7.25098742494,2652.9699707,2630.57006836,3092303.0,668.719970703,397.844908559,2015,3283461.5,668.619995117,,
1,SEN,Diourbel,48.576115176,27.9524686221,0.197214117112,23559.25,23508.7402344,1569423.625,5902.10009766,400.122535415,2015,1647894.875,5902.25976562,,
2,SEN,Fatick,59.9682635818,27.4283968848,0.0145927698972,34071.4199219,33989.96875,778261.9375,8382.390625,398.49088967,2015,835366.5,8449.41992188,,
3,SEN,Kaffrine,53.1715947516,28.5408713151,0.00340948982147,53347.9183044,53284.640686,594627.5,13353.0400391,399.853152182,2015,645957.375,13352.5009766,,
4,SEN,Kaolack,57.9244792298,27.6916708829,0.0557530504767,25420.5816345,25364.441864,1007742.0,6355.0703125,395.818138373,2015,1058038.75,6369.87988281,,
5,SEN,Kolda,83.9655938209,28.3581732774,0.00475274332157,65986.8543261,65894.0700353,705181.75,16520.1308594,401.468438188,2015,747514.3125,16520.7109375,,
6,SEN,Louga,38.3446280267,28.3277338012,0.0101131822776,124546.620117,124438.386719,942514.304688,31153.949707,399.75361627,2015,1029437.23438,31163.2583008,,
7,SEN,Matam,46.1105260752,29.9167890681,0.00228698170147,139906.9021,139774.453003,607259.875,35009.3481445,400.270238857,2015,657074.46875,35009.9597168,,
8,SEN,Saint Louis,25.0052117352,28.8236979443,0.0167581195858,92489.4511719,92351.5200577,930343.375,23027.6015625,399.0346184,2015,957690.0625,23157.2109375,,
9,SEN,Sedhiou,100.447874735,27.5840381732,0.00196344198069,35298.4012756,35246.5962219,480921.125,8650.66015625,400.233035116,2015,509956.59375,8837.44921875,,
10,SEN,Tambacounda,69.6053715558,29.7209804306,0.00236677079082,205512.263611,205316.099548,731985.340332,51426.8796387,401.295073788,2015,770374.099609,51427.3896484,,
11,SEN,Thies,55.5647812368,26.575610435,0.243251382323,31942.222168,31870.5822144,1860258.375,8000.5,400.297745205,2015,1980287.375,8001.77978516,,
