asdf_id,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2010.mean,udel_precip_v501_mean.2011.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2015.mean,gpw_v4_rev11_count.2020.sum,gpw_v4_rev11_count.2020.count,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,gpw_v4_rev11_count.2010.sum,gpw_v4_rev11_count.2010.count,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,3615.08984375,256354.5625,3615.08984375,251230.0625,3615.08984375,246360.5625,3615.08984375,227059.96875,3615.08984375,236345.03125,3615.08984375,231705.6875,3615.08984375,241348.046875,3615.08984375,221832.3125,3615.08984375,217339.75,3615.08984375,213082.34375,3615.08984375,209126.78125,14416.9804688,14374.4794922,14416.9804688,14374.4794922,14416.9804688,14374.4794922,14416.9804688,14374.4794922,14416.9804688,14374.4794922,14416.9804688,14374.4794922,14416.9804688,14374.4794922,14416.9804688,14374.4794922,14416.9804688,14374.4794922,0.00307472260559,0.0020284681649,0.00101975008502,0.00105843556685,0.0,0.0,0.0,0.000719399155763,0.000375279761827,82.3084270117,68.3781407567,65.0964432859,56.875743076,54.6435031183,74.1080056491,87.0247612466,52.2216245338,28.7036861398,28.8180135617,28.5381546351,28.6983902829,29.0320010763,28.5840231589,28.524174694,28.6915081561,413.230471181,410.009956126,404.237356795,408.303051048,403.619784649,401.431847106,241931.03125,3614.8203125,225511.59375,3614.8203125,206295.265625,3614.8203125,46.2550327746,46.2656037434,46.2761778231,46.2867543745,35.4826793487,34.794433969,34.1303676871,33.4894665822,ADM1,0,0,GMB,GMB-ADM1-30299648B79411831,GM-M,Central River,ADM1
1,2226.75,1136969.75,2226.75,1074363.0,2226.75,1014849.375,2226.75,800196.125,2226.75,898994.0,2226.75,850122.25,2226.75,954405.25,2226.75,757088.875,2226.75,716715.3125,2226.75,679885.4375,2226.75,637167.875,9083.49023438,9038.51953125,9083.49023438,9038.51953125,9083.49023438,9038.51953125,9083.49023438,9038.51953125,9083.49023438,9038.51953125,9083.49023438,9038.51953125,9083.49023438,9038.51953125,9083.49023438,9038.51953125,9083.49023438,9038.51953125,0.363291856797,0.306470486557,0.25498297439,0.232210704671,0.254038505709,0.239022134064,0.229233700617,0.229030533624,0.215494146075,74.3895606454,80.1262821543,97.5669414072,80.5000916078,91.9019230685,107.695421165,113.50924901,77.0083334417,26.5568681278,26.3547619016,26.2476190466,26.6059523816,26.4197802146,26.4596153815,26.2665750859,26.8678571379,414.335058555,409.548397832,404.242308527,405.667567107,402.37125863,398.411753654,1094799.5,2230.50976562,848267.1875,2230.50976562,650549.0,2230.50976562,46.5719281053,46.5824272296,46.5929293704,46.6034338821,34.1311075277,33.4999555289,32.8888170196,32.2969232272,ADM1,1,1,GMB,GMB-ADM1-30299648B49690135,GM-W,Western Division,ADM1
2,93.6499938965,337318.46875,93.6499938965,330097.125,93.6499938965,322921.25,93.6499938965,309802.1875,93.6499938965,317413.125,93.6499938965,312127.40625,93.6499938965,321559.09375,93.6499938965,304788.0625,93.6499938965,297989.25,93.6499938965,292625.3125,93.6499938965,292874.59375,410.130004883,404.270019531,410.130004883,404.270019531,410.130004883,404.270019531,410.130004883,404.270019531,410.130004883,404.270019531,410.130004883,404.270019531,410.130004883,404.270019531,410.130004883,404.270019531,410.130004883,404.270019531,3.08880429663,3.43168271811,3.31592103384,3.31644700227,3.87777681042,3.67002357655,3.74035326441,3.83933686851,3.69924154495,60.5833333333,74.5416666667,98.4416666667,76.7666666667,95.1,113.175,117.825,72.7166666667,26.325,26.0583333333,25.9166666667,26.225,26.2166666667,26.2333333333,26.125,26.7166666667,413.321090569,409.283622345,406.315343492,405.501945438,401.534228668,398.925390753,314739.09375,93.3499984741,299966.71875,93.3499984741,280844.21875,93.3499984741,45.8600082397,45.8700027466,45.8800010681,45.8899993896,34.8183493553,34.7603663982,34.70248,34.64469,ADM1,2,2,GMB,GMB-ADM1-30299648B38139168,GM-B,Greater Banjul Area,ADM1
3,2565.67993164,258197.65625,2565.67993164,252777.84375,2565.67993164,246046.15625,2565.67993164,222234.40625,2565.67993164,233088.71875,2565.67993164,226737.28125,2565.67993164,239453.140625,2565.67993164,216394.265625,2565.67993164,211841.359375,2565.67993164,206583.8125,2565.67993164,201339.921875,10405.2597656,10375.2802734,10405.2597656,10375.2802734,10405.2597656,10375.2802734,10405.2597656,10375.2802734,10405.2597656,10375.2802734,10405.2597656,10375.2802734,10405.2597656,10375.2802734,10405.2597656,10375.2802734,10405.2597656,10375.2802734,0.0118163822116,0.0094976462837,0.00764893083522,0.00246946245186,0.000613086139204,9.6852965023e-05,0.000380519598635,0.000410533312192,0.000138582062803,77.150726481,74.6846302949,80.2756719518,71.9597811014,75.5768257805,92.0926227292,95.779824605,67.1904209152,27.3987121331,27.3007909573,27.0609906877,27.4610329333,27.2860265675,27.2030431716,27.0144244245,27.5842868652,415.382518451,410.844304086,403.321634781,406.28014237,403.283087899,396.843461177,246670.546875,2574.4699707,224682.390625,2574.4699707,200750.875,2574.4699707,45.9306673306,45.9406631014,45.9506609863,45.9606612658,35.396645982,34.8464482879,34.3113404469,33.7908323528,ADM1,3,3,GMB,GMB-ADM1-30299648B48737894,GM-N,North Bank Division,ADM1
4,1796.34997559,87832.3671875,1796.34997559,86913.859375,1796.34997559,85716.40625,1796.34997559,80738.703125,1796.34997559,82887.640625,1796.34997559,81930.625,1796.34997559,84382.0625,1796.34997559,79589.09375,1796.34997559,78800.3125,1796.34997559,77626.953125,1796.34997559,76730.65625,7221.90966797,7176.07958984,7221.90966797,7176.07958984,7221.90966797,7176.07958984,7221.90966797,7176.07958984,7221.90966797,7176.07958984,7221.90966797,7176.07958984,7221.90966797,7176.07958984,7221.90966797,7176.07958984,7221.90966797,7176.07958984,0.00742623389951,0.00439620932659,0.00516999207191,0.00185897420733,0.00115972547536,0.0,0.0,0.0,0.000372260854493,92.6782140157,83.8203605193,89.4955600116,82.4078404578,77.8517868361,95.6769728341,104.288987934,74.1741311867,27.5844976421,27.496662835,27.3287834118,27.6541055718,27.5204587573,27.405874159,27.1888735574,27.7252396955,415.506335938,411.48556979,404.724215847,406.719015621,404.314548318,396.640661844,81068.4375,1799.63989258,77924.234375,1799.63989258,73621.640625,1799.63989258,46.3087474195,46.3190218773,46.3292988312,46.3395786668,34.2305941831,33.5713490485,32.9314110184,32.3100889214,ADM1,4,4,GMB,GMB-ADM1-30299648B60919714,GM-L,Lower River,ADM1
5,2436.98999023,280444.75,2436.98999023,273600.0625,2436.98999023,266268.625,2436.98999023,238181.0625,2436.98999023,251293.46875,2436.98999023,244736.6875,2436.98999023,258713.671875,2436.98999023,231922.40625,2436.98999023,226400.5625,2436.98999023,220736.09375,2436.98999023,214824.140625,9717.54003906,9687.109375,9717.54003906,9687.109375,9717.54003906,9687.109375,9717.54003906,9687.109375,9717.54003906,9687.109375,9717.54003906,9687.109375,9717.54003906,9687.109375,9717.54003906,9687.109375,9717.54003906,9687.109375,0.00938932616402,0.00741110601579,0.00705075924097,0.00297672803755,0.000509302553117,0.000459681247246,0.000422075512804,0.00138895187517,0.00128803738131,94.5338036079,72.743174322,62.3580817438,57.314110228,70.1636835877,79.5011685732,104.360110191,59.6657908021,28.6161789527,28.9158459418,28.6219384554,28.6800441613,28.9559999192,28.764391287,28.9889194686,28.4620114423,415.262665408,407.800475975,408.407520436,408.361438094,404.340632396,401.797671944,263707.25,2436.81982422,237306.78125,2436.81982422,209408.140625,2436.81982422,47.6979787733,47.7120138063,47.72605445,47.7400985418,34.8332469089,34.531233769,34.2390492281,33.9562811379,ADM1,5,5,GMB,GMB-ADM1-30299648B55724317,GM-U,Upper River,ADM1
